Source Reference	Target Object	LaTeX Key	Translation Location	Status	Notes
Chapter III	Sobolev spaces chapter	chap:sobolev-spaces	Section 4.1 introduction	resolved	Uses Chapter~\ref
Section 1.4 of Chapter V	Weak-solution kinetic-energy evolution section	sec:chap5-weak-solution-kinetic-energy	Section 4.1 introduction	deferred	Target chapter has not been created; rendered by MBUnresolvedReference and not guessed
Lemma II.4.1	Integral antiderivative lemma	lem:chap2-integral-antiderivative	Proof of Corollary II.4.2	resolved	Uses Lemma~\ref
Lemma II.2.44	Zero-gradient distribution is constant	lem:chap2-zero-gradient-distribution-constant	Proof of Corollary II.4.2	resolved	Uses Lemma~\ref
[69, 100]	Lebesgue-point theorem bibliography entries	bib:lebesgue-point-sources	Before Theorem II.4.5	deferred	Bibliography keys are not yet available; no target guessed
[69]	Absolute-continuity bibliography entry	bib:source-69	Remark II.4.1	deferred	Bibliography key is not yet available; no target guessed
Proposition III.2.40	Multidimensional Hardy inequality	prop:chap3-hardy-boundary-distance	Before Corollary II.4.8	resolved	Uses Proposition~\ref; target exists in the current integrated draft
Section 4.1	Differentiation and antiderivatives	subsec:chap2-differentiation-antiderivatives	Proof of Lemma II.4.10	resolved	Uses Section~\ref
Corollary II.4.2	Continuous representative of W^{1,1}	cor:chap2-w11-continuous-representative	Proof of Lemma II.4.10	resolved	Uses Corollary~\ref
[15]	Bellman bibliography entry	bib:source-15	Before Lemma II.4.10	deferred	Bibliography key is not yet available; no target guessed
(II.15)	Uniform Gronwall differential inequality	eq:chap2-uniform-gronwall-differential	Proof of Lemma II.4.11	resolved	Uses \eqref
Lemma II.4.10	Gronwall inequality	lem:chap2-gronwall	Proof of Lemma II.4.11	resolved	Uses Lemma~\ref
(II.16)	Uniform Gronwall averaged bound	eq:chap2-uniform-gronwall-average	Proof of Lemma II.4.11	resolved	Uses \eqref
[121]	Uniform Gronwall lemma bibliography entry	bib:source-121	Lemma II.4.11 heading	deferred	Bibliography key is not yet available; no target guessed
[16]	Bihari inequality bibliography entry	bib:source-16	Lemma II.4.12 heading	deferred	Bibliography key is not yet available; no target guessed
(II.17)	Bihari critical-time equation	eq:chap2-bihari-critical-time	Proof of Lemma II.4.12	resolved	Uses \eqref
(II.18)	Bihari majorant inequality	eq:chap2-bihari-majorant	Proof of Lemma II.4.12	resolved	Uses \eqref
(II.19)	Bihari final bound	eq:chap2-bihari-bound	Proof of Lemma II.4.12	resolved	Uses \eqref
