PDF Page	Printed Page	Source Scope	Translation Target	Coverage	Verification
241	229	Chapter IV opening and convention	tex/chapters/ch04-sec01.tex	covered	Chapter introduction, section roadmap, literature note, and convention checked against the source page
242	230	Section 1 opening and Nečas space definition	tex/chapters/ch04-sec01.tex	covered	Section opening, norm definition, theorem introduction, and proof plan checked against the source page
243	231	Theorem IV.1.1 and whole-space argument	tex/chapters/ch04-sec01.tex	covered	Theorem, two remarks, equation (IV.1), and Proposition IV.1.2 checked against the source page
244	232	Flat half-space construction	tex/chapters/ch04-sec01.tex	covered	Lemma IV.1.3, transpose construction, and Lemma IV.1.4 opening checked against the source page
245	233	Projection proof, first step	tex/chapters/ch04-sec01.tex	covered	Extension operator, equation (IV.2), and tangential derivative estimates checked against the source page
246	234	Projection proof, remaining steps	tex/chapters/ch04-sec01.tex	covered	Normal derivative construction and duality estimates checked against the source page
247	235	Projection proof conclusion and Proposition IV.1.5	tex/chapters/ch04-sec01.tex	covered	Equation (IV.3), coefficient choice, and flat half-space theorem checked against the source page
248	236	Lipschitz half-space argument	tex/chapters/ch04-sec01.tex	covered	Proposition IV.1.6, coordinate transformation, and equation (IV.4) checked against the source page
249	237	Lipschitz half-space conclusion	tex/chapters/ch04-sec01.tex	covered	Gradient transformation, equation (IV.5), and conclusion checked against the source page
250	238	General Lipschitz domain argument	tex/chapters/ch04-sec01.tex	covered	Partition-of-unity proof and equation (IV.6) checked against the source page
251	239	Poincaré inequality and quotient-space opening	tex/chapters/ch04-sec01.tex	covered	Proposition IV.1.7 proof and Definition IV.1.8 opening checked against the source page
252	240	Quotient-space conclusion	tex/chapters/ch04-sec01.tex	covered	Definition IV.1.8, Lemma IV.1.9, equations (IV.7)--(IV.8), and proof checked against the source page
