PDF Page	Printed Page	Source Scope	Translation Target	Coverage	Verification
402	391	Conclusion of Section 2 and Section 3 opening	tex/chapters/ch05-sec03.tex	covered	Section 2 was already closed in the accepted preceding batch; Section 3 title, scope, homogeneous/nonhomogeneous cases, uniqueness, and stability roadmap checked
403	392	Subsections 3.1 and 3.1.1, Theorem V.3.1, equations V.57--V.59, and proof opening	tex/chapters/ch05-sec03.tex	covered	Theorem data and spaces, steady system, estimates, special basis, Galerkin identity, map P, and printed symbol a in V.59 preserved and checked
404	393	Compactness passage, equation V.60, and pressure recovery	tex/chapters/ch05-sec03.tex	covered	Weak and strong convergence exponents, lower semicontinuity, nonlinear limit, density, variational identity, and de Rham pressure step checked
405	394	Subsection 3.1.2, Theorem V.3.2, equation V.61, regularity proof, and Remark V.3.1	tex/chapters/ch05-sec03.tex	covered	Two- and three-dimensional bootstrap, printed p-range transition, final H2/H1 regularity, and Lp remark checked
406	395	Subsection 3.2 opening, equation V.62, flux compatibility, boundary components, Q definition, and Theorem V.3.3 opening	tex/chapters/ch05-sec03.tex	covered	Nonhomogeneous problem, all boundary conditions, simple-connectivity scope, flux definition, theorem dimensions, and V.63 checked
407	396	Theorem V.3.3 conclusion, equations V.64--V.66, discussion, and two boundary liftings	tex/chapters/ch05-sec03.tex	covered	Existence space, estimate, unresolved source [63], mu_i definition, F1 system and bound, componentwise fluxes, and F2 properties checked
408	397	Lemma V.3.4, equations V.67--V.69, and vector-potential construction	tex/chapters/ch05-sec03.tex	covered	Hopf lemma statement, unresolved sources [71] and [70], large-alpha case, printed small-alpha condition, normal trace, vector potential, delta_epsilon, and psi_epsilon checked
409	398	Mollified cutoff beta_epsilon, equation V.70, and derivative estimates	tex/chapters/ch05-sec03.tex	covered	Convolution normalization, support thresholds, derivative constants, integration-by-parts factors, second derivative, and exponential sup bounds visually checked
410	399	Boundary cutoff vector field G and proof of V.67	tex/chapters/ch05-sec03.tex	covered	Regularized distance reference, curl construction, support and pointwise bounds, Hardy estimate, theta(epsilon), printed L2 endpoint norm, and epsilon choice checked
411	400	Conclusion of Hopf lemma and proof of Theorem V.3.3 through equation V.72	tex/chapters/ch05-sec03.tex	covered	Gradient estimate including alpha-squared intermediate factor, G tilde construction, lifted system V.71, source V.72, Galerkin scope, and linear energy terms checked
412	401	Energy estimate V.73, theorem conclusion, and Theorem V.3.5 statement	tex/chapters/ch05-sec03.tex	covered	F1 and Hopf term constants, alpha choice, tilde-f factor Re inverse, V.64 deduction, all uniqueness smallness conditions, and solution space checked
413	402	Remarks V.3.2--V.3.3, proof of uniqueness, and Subsection 3.4 opening	tex/chapters/ch05-sec03.tex	covered	Unresolved source [63], difference system, cancellation, smallness deduction, homogeneous specialization, and asymptotic-stability setup checked
414	403	Equations V.74--V.75, perturbation setup, Subsection 3.4.1, and Theorem V.3.6	tex/chapters/ch05-sec03.tex	covered	Unsteady system, initial condition, dimension distinction, perturbation equation, printed d exponent in the two-dimensional theorem, both exponential estimates, and time ranges checked
415	404	Proof of Theorem V.3.6 and Subsection 3.4.2 opening	tex/chapters/ch05-sec03.tex	covered	Weak-solution premise, V.3 energy estimate, Young and Poincare coefficients, exponential L2 decay, deferred gradient estimate, and three-dimensional motivation checked
416	405	Theorem V.3.7 statement and proof through equations V.76--V.77	tex/chapters/ch05-sec03.tex	covered	Steady and initial smallness assumptions, strong-solution conclusion, Aw test, interpolation powers, Young estimate, Poincare coefficient C1, and both numbered inequalities checked
417	406	Equations V.78--V.79, maximal-time contradiction, exponential decay, and pressure subsection opening	tex/chapters/ch05-sec03.tex	covered	Intervals, thresholds C1/(8Re), continuity argument, maximality contradiction, decay exponent, pressure time average, and printed dx anomaly preserved and checked
418	407	Integrated pressure equation, Necas estimate, and end of Chapter V	tex/chapters/ch05-sec03.tex	covered	All tensor signs, time interval, H-1 and L2 norms, L4 terms, steady velocity factor, and both convergence conclusions checked
