Source Reference	Target Object	LaTeX Key	Translation Location	Status	Notes
[27, 104, 105]	Functional-analysis bibliography entries	bib:functional-analysis-sources	Section 2.1 introduction	deferred	Bibliography keys are not yet available; no target guessed
[27]	Functional-analysis bibliography entry	bib:source-27	Sections 2.2 and 2.3.2	deferred	Bibliography key is not yet available; no target guessed
Section 2.3.4	Weak and weak-star convergence in Lebesgue spaces	subsec:chap2-lebesgue-weak-convergences	Section 2.2 introduction	resolved	Uses Section~\\ref
Theorem II.2.4	Banach--Steinhaus theorem	thm:chap2-banach-steinhaus	Before Corollary II.2.8	resolved	Uses Theorem~\\ref
Theorem II.2.7	Weak and weak-star compactness	thm:chap2-weak-compactness	Proofs and Section 2.3.4 introduction	resolved	Uses Theorem~\\ref
Equation (II.4)	Subsequence separation estimate	eq:chap2-subsequence-separation	Proof of Proposition II.2.9	resolved	Uses \\eqref
Proposition II.2.9	Unique subsequential weak-limit criterion	prop:chap2-unique-subsequence-limit	Proof of Proposition II.2.10	resolved	Uses Proposition~\\ref
Proposition II.2.32	Weak convergence plus norm convergence criterion	prop:chap2-weak-plus-norm-implies-strong-lp	After Proposition II.2.11	resolved	Uses Proposition~\\ref
Corollary II.2.8	Weak lower semicontinuity	cor:chap2-weak-lower-semicontinuity	Proofs of Propositions II.2.12 and II.2.32	resolved	Uses Corollary~\\ref
Section 3	Basic compactness results	sec:chap2-compactness	Remark II.2.2	resolved	Uses Section~\\ref
Proposition II.2.21	Minkowski inequality	prop:chap2-minkowski	Lebesgue-space norm discussion	resolved	Uses Proposition~\\ref
Remark II.2.3	Minkowski norm consequence	rem:chap2-minkowski-norm	Lebesgue-space norm discussion	resolved	Dedicated source-remark counter and semantic label
Proposition II.2.16	Young inequality	prop:chap2-young-inequality	Corollary II.2.17	resolved	Uses Proposition~\\ref
Proposition II.2.20	Jensen inequality	prop:chap2-jensen-inequality	Proof of Proposition II.2.25	resolved	Uses Proposition~\\ref
Equation (II.6)	Mollifier Lp estimate	eq:chap2-mollifier-lp-bound	Proof of Proposition II.2.25	resolved	Uses \\eqref
Chapter VI	Transport-equation renormalized solutions	chap:transport-nonhomogeneous	Section 2.3.3 introduction	deferred	Target chapter is outside the integrated scope; no number guessed
Proposition II.2.25	Mollifier properties	prop:chap2-mollifier-properties	Proof of Theorem II.2.26	resolved	Uses Proposition~\\ref
Theorem II.2.26	Test-function density in Lp	thm:chap2-test-functions-dense-lp	Theorem II.2.29 and proof	resolved	Uses Theorem~\\ref
Proposition II.2.12	Strong-weak bilinear convergence	prop:chap2-strong-weak-bilinear	Before Proposition II.2.30	resolved	Uses Proposition~\\ref
[27, 69]	Clarkson-inequality bibliography entries	bib:clarkson-sources	Before Lemma II.2.31	deferred	Bibliography keys are not yet available; no target guessed
Proposition II.2.11	Hilbert strong-convergence criterion	prop:chap2-hilbert-strong-convergence	After Proposition II.2.32	resolved	Uses Proposition~\\ref
Lemma II.2.31	Clarkson inequalities	lem:chap2-clarkson-inequalities	Proof of Proposition II.2.32	resolved	Uses Lemma~\\ref
Equations (II.7)-(II.9)	Clarkson limsup/liminf estimates	eq:chap2-clarkson-limsup; eq:chap2-clarkson-difference; eq:chap2-clarkson-liminf	Proof of Proposition II.2.32	resolved	Every formula reference uses \\eqref
Lemma II.2.33	Lp interpolation inequality	lem:chap2-lp-interpolation	Proof of Corollary II.2.34	resolved	Uses Lemma~\\ref
Propositions II.2.27-II.2.28	Weak and weak-star subsequence extraction	prop:chap2-bounded-lp-weak-subsequence; prop:chap2-bounded-linfty-weak-star-subsequence	Proof of Proposition II.2.36	resolved	Both targets use \\ref
Lemma II.2.37	Cutoff function	lem:chap2-cutoff-function	Proof of Lemma II.2.38	resolved	Uses Lemma~\\ref
Equation (II.10)	Alpha partition identity	eq:chap2-alpha-partition	Proof of Lemma II.2.38	resolved	Uses \\eqref
Theorem II.2.29	Weak-star density of test functions	thm:chap2-test-functions-weak-star-dense-linfty	Proof of Proposition II.2.42	resolved	Uses Theorem~\\ref
Lemma II.2.38	Partition of unity	lem:chap2-partition-of-unity	Proof of Lemma II.2.44	resolved	Uses Lemma~\\ref
Chapter III	Sobolev spaces on Lipschitz domains	chap:sobolev-spaces	Section 2.6 introduction	resolved	Uses Chapter~\\ref
[68]	Rademacher-theorem bibliography entry	bib:source-68	Before Theorem II.2.46	deferred	Bibliography key is not yet available; no target guessed
Definition II.2.23	Mollifying kernel	def:chap2-mollifying-kernel	Before Proposition II.2.47	resolved	Uses Definition~\\ref
Equation (II.5)	Mollified convolution	eq:chap2-mollified-convolution	Before and in proof of Proposition II.2.47	resolved	Uses \\eqref
