PDF Page	Printed Page	Source Scope	Translation Target	Coverage	Verification
285	273	Section 5 opening after the conclusion of Theorem IV.4.13	tex/chapters/ch04-sec05.tex	covered	Section 5 heading and Subsection 5.1 opening checked; preceding Section 4 proof excluded
286	274	Spaces V and H, homogeneous Stokes problem, and Theorem IV.5.1 opening	tex/chapters/ch04-sec05.tex	covered	Equation IV.31, weak formulation IV.32, assumptions, and proof opening checked
287	275	Theorem IV.5.1 conclusion and Remark IV.5.1	tex/chapters/ch04-sec05.tex	covered	Pressure uniqueness and full Lagrange-multiplier interpretation checked
288	276	Theorem IV.5.2 statement and proof opening	tex/chapters/ch04-sec05.tex	covered	Compatibility IV.33, problem IV.34, estimate, Remark IV.5.2, and lifting construction checked
289	277	Theorem IV.5.2 proof conclusion and Subsection 5.2 opening	tex/chapters/ch04-sec05.tex	covered	Velocity and pressure estimates and Stokes-operator motivation checked
290	278	Stokes operator definition and Lemmas IV.5.3--IV.5.4 opening	tex/chapters/ch04-sec05.tex	covered	Equation IV.35, closed graph, graph norm, compact embedding, and self-adjointness opening checked
291	279	Lemma IV.5.4 conclusion and Theorem IV.5.5 statement	tex/chapters/ch04-sec05.tex	covered	Equations IV.36--IV.38 and complete adjoint-domain argument checked
292	280	Theorem IV.5.5 proof, Definition IV.5.6, and Lemma IV.5.7 opening	tex/chapters/ch04-sec05.tex	covered	Spectral basis, positivity, V-completeness, and Leray projection formula checked
293	281	Lemma IV.5.7 conclusion, Theorem IV.5.8, Remark IV.5.3, and Proposition IV.5.9 opening	tex/chapters/ch04-sec05.tex	covered	Projection proof, regularity statement, pressure observation, and domain statement checked
294	282	Proposition IV.5.9 proof and fractional-power transition	tex/chapters/ch04-sec05.tex	covered	Both domain inclusions, correct Theorem IV.2.4 reference, estimates, and Leray formula checked
295	283	Proposition IV.5.10 and proof	tex/chapters/ch04-sec05.tex	covered	Fractional domains and equation IV.39 checked token by token
296	284	Theorem IV.5.11 statement and proof opening	tex/chapters/ch04-sec05.tex	covered	Interval delimiters, spectral sums, cutoff decomposition, and interpolation estimate checked
297	285	Theorem IV.5.11 conclusion and Proposition IV.5.12	tex/chapters/ch04-sec05.tex	covered	Printed omega-k symbol preserved; equation IV.40 and both optimal Poincare inequalities checked
298	286	Subsection 5.3 and Theorem IV.5.13 opening	tex/chapters/ch04-sec05.tex	covered	Problem IV.41, function spaces, energy equality, and printed Reynolds-number inconsistency preserved
299	287	Theorem IV.5.13 proof conclusion, Remark IV.5.4, and Subsection 5.4 opening	tex/chapters/ch04-sec05.tex	covered	Equation IV.42, pressure recovery, dimension remark, and penalty-method motivation checked
300	288	Penalty problem and Lemma IV.5.14 through Proposition IV.5.15 opening	tex/chapters/ch04-sec05.tex	covered	Equations IV.43--IV.45, bilinear form, and printed H1 pressure claim preserved
301	289	Proposition IV.5.15 conclusion and Proposition IV.5.16 proof opening	tex/chapters/ch04-sec05.tex	covered	Uniform bounds, weak convergence, equations IV.46--IV.47, and error argument checked
302	290	Proposition IV.5.16 proof conclusion before Section 6	tex/chapters/ch04-sec05.tex	covered	Final pressure-error estimate and proof conclusion included; all Section 6 material excluded
