Source Reference	Target Object	LaTeX Key	Translation Location	Status	Notes
\ref{def:chap3-ckalpha-domain}	def:chap3-ckalpha-domain	def:chap3-ckalpha-domain	tex/chapters/ch03-sec03.tex:13,26	resolved	Uses ref
\eqref{eq:chap3-chart-inverse-lipschitz}	eq:chap3-chart-inverse-lipschitz	eq:chap3-chart-inverse-lipschitz	tex/chapters/ch03-sec03.tex:26,116	resolved	Uses eqref
\eqref{eq:chap2-signed-distance}	eq:chap2-signed-distance	eq:chap2-signed-distance	tex/chapters/ch03-sec03.tex:89	resolved	Uses eqref
\eqref{eq:chap3-tubular-bi-lipschitz}	eq:chap3-tubular-bi-lipschitz	eq:chap3-tubular-bi-lipschitz	tex/chapters/ch03-sec03.tex:118,161	resolved	Uses eqref
\eqref{eq:chap3-tubular-contradiction-sequence}	eq:chap3-tubular-contradiction-sequence	eq:chap3-tubular-contradiction-sequence	tex/chapters/ch03-sec03.tex:124,129,135,145	resolved	Uses eqref
\eqref{eq:chap3-normal-quadratic-contact}	eq:chap3-normal-quadratic-contact	eq:chap3-normal-quadratic-contact	tex/chapters/ch03-sec03.tex:129	resolved	Uses eqref
\eqref{eq:chap3-normal-parameter-control}	eq:chap3-normal-parameter-control	eq:chap3-normal-parameter-control	tex/chapters/ch03-sec03.tex:141,145	resolved	Uses eqref
\eqref{eq:chap3-distance-gradient-normal}	eq:chap3-distance-gradient-normal	eq:chap3-distance-gradient-normal	tex/chapters/ch03-sec03.tex:165,172	resolved	Uses eqref
\ref{prop:chap3-lipschitz-function-in-w1infty}	prop:chap3-lipschitz-function-in-w1infty	prop:chap3-lipschitz-function-in-w1infty	tex/chapters/ch03-sec03.tex:165	resolved	Uses ref
\eqref{eq:chap3-nearest-boundary-projection}	eq:chap3-nearest-boundary-projection	eq:chap3-nearest-boundary-projection	tex/chapters/ch03-sec03.tex:167	resolved	Uses eqref
\eqref{eq:chap3-boundary-projection-derivative}	eq:chap3-boundary-projection-derivative	eq:chap3-boundary-projection-derivative	tex/chapters/ch03-sec03.tex:172	resolved	Uses eqref
[82]	bib:regularized-distance-construction	bib:regularized-distance-construction	tex/chapters/ch03-sec03.tex:184	deferred	Target unavailable or uncertain; no number or key was guessed
\ref{def:chap2-mollifying-kernel}	def:chap2-mollifying-kernel	def:chap2-mollifying-kernel	tex/chapters/ch03-sec03.tex:186	resolved	Uses ref
