PDF Page	Printed Page	Source Scope	Translation Target	Coverage	Verification
463	453	Chapter VII opening, two boundary-modelling settings, Section 1 opening, and outflow motivation	tex/chapters/ch07-sec01.tex	covered	Both chapter-level cases and the complete outflow-boundary motivation are retained in source order
464	454	Model geometry, Gamma decomposition, prescribed inflow data, and physical discussion of truncation	tex/chapters/ch07-sec01.tex	covered	Domain assumptions, inflow/outflow interpretation, Reynolds-flow discussion, and cited prior work are represented
465	455	Navier--Stokes system VII.1, stress definition, general boundary condition VII.2, and Figure VII.1 opening	tex/chapters/ch07-sec01.tex	covered	Every equation line, stress definition, figure reference, and modelling statement is present
466	456	Figure VII.1, reference flow assumptions, stationary Stokes problem VII.3, and stress VII.4	tex/chapters/ch07-sec01.tex	covered	Exact source figure body is reused, duplicate English caption is clipped, and the Chinese caption is labelled VII.1
467	457	Reference-stress discussion, positive and negative parts, nonlinear outflow condition VII.5, and remarks	tex/chapters/ch07-sec01.tex	covered	Boundary-condition derivation and both source-authored remarks are retained without added interpretation
468	458	Weak formulation VII.6, existence and uniqueness Theorem VII.1.1, initial condition VII.7, and trace interpretation	tex/chapters/ch07-sec01.tex	covered	Full weak form, all theorem hypotheses and conclusions, and the initial-value discussion are present
469	459	Galerkin spaces, problem VII.8, projection initial data, and explanation of the fractional-time method	tex/chapters/ch07-sec01.tex	covered	Approximation definition and the complete explanation of why the Chapter V derivative estimate is unavailable are retained
470	460	Proposition VII.1.2, energy estimate VII.9, and first part of its proof	tex/chapters/ch07-sec01.tex	covered	ODE existence, testing argument, boundary contribution, and Sobolev and trace estimates are present
471	461	Conclusion of the energy proof, global Galerkin existence, Remark VII.1.2, and Proposition VII.1.3 statement	tex/chapters/ch07-sec01.tex	covered	Korn, Young, Gronwall, optimal quadratic-boundary discussion, and fractional Fourier estimate are present
472	462	Fourier-transformed Galerkin equation VII.10 and the algebraic tensor reformulation	tex/chapters/ch07-sec01.tex	covered	Zero extension, Fourier derivative endpoint terms, conjugate test function, and imaginary-part setup are retained
473	463	Six-term bound VII.11 and estimates VII.12--VII.14 for I_N^1	tex/chapters/ch07-sec01.tex	covered	All six terms and every Hausdorff--Young, Sobolev, and Hoelder estimate are preserved
474	464	Estimates VII.15--VII.17 for I_N^2--I_N^4 and the setup for I_N^5--I_N^6	tex/chapters/ch07-sec01.tex	covered	Tensor, trace, Fourier-space, and Dirac-mass arguments are retained in source order
475	465	Estimate VII.18, weighted inequality VII.19, completion of Proposition VII.1.3, and Proposition VII.1.4 opening	tex/chapters/ch07-sec01.tex	covered	Delta integrability threshold, sigma choice, and all opening convergence statements are present
476	466	Remaining convergence statements of Proposition VII.1.4 and boundary-term proof	tex/chapters/ch07-sec01.tex	covered	All volume and trace convergences, the d=2 reader remark, and the full L4/3 boundary estimate are present
477	467	Strong trace convergence, identification of w_1, w_2, gamma_1, and time derivative conclusion	tex/chapters/ch07-sec01.tex	covered	Trace interpolation, weak-strong products, positive-part Lipschitz argument, and limit identification are retained
478	468	Completion of existence proof and uniqueness setup for d=2	tex/chapters/ch07-sec01.tex	covered	Difference weak equation, admissibility of psi=u, and complete energy identity are present; the printed residual psi is preserved
479	469	Uniqueness estimates, differential inequality VII.20, definition of g, Gronwall conclusion, and pressure existence	tex/chapters/ch07-sec01.tex	covered	Every estimate and factor in g is retained, followed by the complete de Rham pressure conclusion
