PDF Page	Printed Page	Source Scope	Translation Target	Coverage	Verification
201	189	Chapter III source page 189	tex/chapters/ch03-sec03.tex	covered	Page included in the Section 3 fidelity review; exposition, proof steps, numbered objects, and numbered formulae checked against the extracted source
202	190	Chapter III source page 190	tex/chapters/ch03-sec03.tex	covered	Page included in the Section 3 fidelity review; exposition, proof steps, numbered objects, and numbered formulae checked against the extracted source
203	191	Chapter III source page 191	tex/chapters/ch03-sec03.tex	covered	Page included in the Section 3 fidelity review; exposition, proof steps, numbered objects, and numbered formulae checked against the extracted source
204	192	Chapter III source page 192	tex/chapters/ch03-sec03.tex	covered	Page included in the Section 3 fidelity review; exposition, proof steps, numbered objects, and numbered formulae checked against the extracted source
205	193	Chapter III source page 193	tex/chapters/ch03-sec03.tex	covered	Page included in the Section 3 fidelity review; exposition, proof steps, numbered objects, and numbered formulae checked against the extracted source
206	194	Chapter III source page 194	tex/chapters/ch03-sec03.tex	covered	Page included in the Section 3 fidelity review; exposition, proof steps, numbered objects, and numbered formulae checked against the extracted source
207	195	Chapter III source page 195	tex/chapters/ch03-sec03.tex	covered	Page included in the Section 3 fidelity review; exposition, proof steps, numbered objects, and numbered formulae checked against the extracted source
208	196	Chapter III source page 196	tex/chapters/ch03-sec03.tex	covered	Page included in the Section 3 fidelity review; exposition, proof steps, numbered objects, and numbered formulae checked against the extracted source
209	197	Chapter III source page 197	tex/chapters/ch03-sec03.tex	covered	Page included in the Section 3 fidelity review; exposition, proof steps, numbered objects, and numbered formulae checked against the extracted source
210	198	Chapter III source page 198	tex/chapters/ch03-sec03.tex	covered	Page included in the Section 3 fidelity review; exposition, proof steps, numbered objects, and numbered formulae checked against the extracted source
211	199	Chapter III source page 199	tex/chapters/ch03-sec03.tex	covered	Page included in the Section 3 fidelity review; exposition, proof steps, numbered objects, and numbered formulae checked against the extracted source
212	200	Chapter III source page 200	tex/chapters/ch03-sec03.tex	covered	Page included in the Section 3 fidelity review; exposition, proof steps, numbered objects, and numbered formulae checked against the extracted source
213	201	Chapter III source page 201	tex/chapters/ch03-sec03.tex	covered	Page included in the Section 3 fidelity review; exposition, proof steps, numbered objects, and numbered formulae checked against the extracted source
214	202	Chapter III source page 202	tex/chapters/ch03-sec03.tex	covered	Page included in the Section 3 fidelity review; exposition, proof steps, numbered objects, and numbered formulae checked against the extracted source
215	203	Chapter III source page 203	tex/chapters/ch03-sec03.tex	covered	Page included in the Section 3 fidelity review; exposition, proof steps, numbered objects, and numbered formulae checked against the extracted source
216	204	Chapter III source page 204	tex/chapters/ch03-sec03.tex	covered	Page included in the Section 3 fidelity review; exposition, proof steps, numbered objects, and numbered formulae checked against the extracted source
217	205	Chapter III source page 205	tex/chapters/ch03-sec03.tex	covered	Page included in the Section 3 fidelity review; exposition, proof steps, numbered objects, and numbered formulae checked against the extracted source
218	206	Chapter III source page 206	tex/chapters/ch03-sec03.tex	covered	Page included in the Section 3 fidelity review; exposition, proof steps, numbered objects, and numbered formulae checked against the extracted source
219	207	Chapter III source page 207	tex/chapters/ch03-sec03.tex	covered	Page included in the Section 3 fidelity review; exposition, proof steps, numbered objects, and numbered formulae checked against the extracted source
220	208	Chapter III source page 208	tex/chapters/ch03-sec03.tex	covered	Page included in the Section 3 fidelity review; exposition, proof steps, numbered objects, and numbered formulae checked against the extracted source
221	209	Chapter III source page 209	tex/chapters/ch03-sec03.tex	covered	Page included in the Section 3 fidelity review; exposition, proof steps, numbered objects, and numbered formulae checked against the extracted source
222	210	Chapter III source page 210	tex/chapters/ch03-sec03.tex	covered	Page included in the Section 3 fidelity review; exposition, proof steps, numbered objects, and numbered formulae checked against the extracted source
223	211	Chapter III source page 211	tex/chapters/ch03-sec03.tex	covered	Page included in the Section 3 fidelity review; exposition, proof steps, numbered objects, and numbered formulae checked against the extracted source
224	212	Chapter III source page 212	tex/chapters/ch03-sec03.tex	covered	Page included in the Section 3 fidelity review; exposition, proof steps, numbered objects, and numbered formulae checked against the extracted source
225	213	Chapter III source page 213	tex/chapters/ch03-sec03.tex	covered	Page included in the Section 3 fidelity review; exposition, proof steps, numbered objects, and numbered formulae checked against the extracted source
226	214	Chapter III source page 214	tex/chapters/ch03-sec03.tex	covered	Page included in the Section 3 fidelity review; exposition, proof steps, numbered objects, and numbered formulae checked against the extracted source
227	215	Chapter III source page 215	tex/chapters/ch03-sec03.tex	covered	Page included in the Section 3 fidelity review; exposition, proof steps, numbered objects, and numbered formulae checked against the extracted source
228	216	Chapter III source page 216	tex/chapters/ch03-sec03.tex	covered	Page included in the Section 3 fidelity review; exposition, proof steps, numbered objects, and numbered formulae checked against the extracted source
229	217	Chapter III source page 217	tex/chapters/ch03-sec03.tex	covered	Page included in the Section 3 fidelity review; exposition, proof steps, numbered objects, and numbered formulae checked against the extracted source
230	218	Chapter III source page 218	tex/chapters/ch03-sec03.tex	covered	Page included in the Section 3 fidelity review; exposition, proof steps, numbered objects, and numbered formulae checked against the extracted source
231	219	Chapter III source page 219	tex/chapters/ch03-sec03.tex	covered	Page included in the Section 3 fidelity review; exposition, proof steps, numbered objects, and numbered formulae checked against the extracted source
232	220	Chapter III source page 220	tex/chapters/ch03-sec03.tex	covered	Page included in the Section 3 fidelity review; exposition, proof steps, numbered objects, and numbered formulae checked against the extracted source
233	221	Chapter III source page 221	tex/chapters/ch03-sec03.tex	covered	Page boundary continues Proposition III.3.24 onto PDF page 234; both formulae are retained across the batch boundary
