PDF Page	Source Scope	Translation Target	Coverage	Verification
122	Section 6 introduction; eigenvector motivation; derivative-loss issue; Stokes-operator pointer; Section 6.1; unbounded-operator data; Remark II.6.1 begins	tex/chapters/ch02-sec06.tex: sec:chap2-unbounded-operator-spectral-analysis through rem:chap2-unbounded-really-unbounded	covered	Banach-space caveat, Au=lambda u motivation, Chapter III and IV pointers, Laplace-domain example, all three defining bullets, closed graph, and inequality retained
123	Proof of Remark II.6.1; self-adjoint motivation; Definitions II.6.1-II.6.2; Proposition II.6.3 begins	tex/chapters/ch02-sec06.tex: proof in rem:chap2-unbounded-really-unbounded through prop:chap2-inverse-self-adjoint	covered	Cauchy-sequence closed-graph proof, adjoint extension and uniqueness, both self-adjoint conditions, and domain argument retained
124	Proof of Proposition II.6.3 ends; graph-norm motivation; Proposition II.6.4; equation (II.29); Remark II.6.2; Section 6.2; Theorem II.6.5 and compact-inverse setup	tex/chapters/ch02-sec06.tex: proof of prop:chap2-inverse-self-adjoint through thm:chap2-compact-self-adjoint-spectral and following discussion	covered	Full self-adjoint inverse calculation, continuity motivation, graph norm, omitted-proof citation, open-mapping argument, compact embedding, and Lemma II.3.5 reference checked
125	Theorem II.6.6 statement and proof through eigenvalue inversion	tex/chapters/ch02-sec06.tex: thm:chap2-compact-inverse-spectral and first half of proof	covered	All hypotheses, compact self-adjoint inverse, injective-not-surjective warning, source k>=0 anomaly, range argument, and lambda_k=1/mu_k retained
126	Proof of Theorem II.6.6 ends; spectral expansion; Proposition II.6.7 begins	tex/chapters/ch02-sec06.tex: second half of proof of thm:chap2-compact-inverse-spectral through prop:chap2-domain-spectral-characterization	covered	D(A)-orthogonality, norms, complete-family proof, H expansion, and domain characterization retained
127	Proof of Proposition II.6.7 ends; Parseval-type norm conclusions; motivation for powers and nonnegativity	tex/chapters/ch02-sec06.tex: proof of prop:chap2-domain-spectral-characterization through introduction of D(A^s)	covered	Both implications, D(A) and H convergence, two norm identities, equivalent norm, natural A^2 definition, and nonnegative-eigenvalue equivalence checked
128	Positive powers, natural inner product, Proposition II.6.8, compactness proof through equation (II.30)	tex/chapters/ch02-sec06.tex: definitions of A^s and D(A^s) through eq:chap2-fractional-power-tail	covered	All three proposition items, coordinate notation, uniform bound, finite-cover goal, n_0 choice, and tail estimate retained
129	Equation (II.31); finite-dimensional covering proof; motivation and definition for negative powers; Proposition II.6.9 begins	tex/chapters/ch02-sec06.tex: eq:chap2-fractional-power-head through prop:chap2-negative-power-duality	covered	Coordinate cover, finite centres, final epsilon estimate, incompleteness explanation, completion construction, and negative-power duality retained
130	Proposition II.6.9 ends; Section 6.3; equation (II.32); spectral ordering; Definition and Proposition II.6.10; Remark II.6.3 and proof begins	tex/chapters/ch02-sec06.tex: prop:chap2-negative-power-duality through prop:chap2-semigroup-definition and rem:chap2-semigroup-property	covered	Duality formula, every operator hypothesis, homogeneous problem, positive spectrum, exponential definition, smoothing statement, and semigroup identity retained
131	Proof of II.6.10 ends; Theorem II.6.11; equation (II.33); uniqueness and existence proof begins	tex/chapters/ch02-sec06.tex: proof of prop:chap2-semigroup-definition through first part of thm:chap2-homogeneous-semigroup-solution proof	covered	C_s supremum and estimate, exact regularity statement, energy uniqueness proof, Theorem II.5.12 and Corollary II.3.8 references, continuity at zero, and termwise derivative retained
132	Proof of Theorem II.6.11 ends; source-term motivation; Theorem II.6.12; equations (II.34)-(II.35); proof; Remark II.6.4	tex/chapters/ch02-sec06.tex: end of thm:chap2-homogeneous-semigroup-solution proof through rem:chap2-duhamel-low-regularity	covered	D(A)-convergence justification, references [48,95], all regularity spaces, inhomogeneous problem, Duhamel formula, change of variables, integration-by-parts argument, and low-regularity caveat checked
