Source Reference	Target Object	LaTeX Key	Translation Location	Status	Notes
[2, 3]	bib:agmon-douglis-nirenberg	bib:agmon-douglis-nirenberg	tex/chapters/ch03-sec04.tex:8	deferred	Target unavailable or uncertain; no number or key was guessed
\eqref{eq:chap3-laplace-dirichlet-problem}	eq:chap3-laplace-dirichlet-problem	eq:chap3-laplace-dirichlet-problem	tex/chapters/ch03-sec04.tex:30,63	resolved	Uses eqref
\ref{thm:chap3-trace-lifting-operator}	thm:chap3-trace-lifting-operator	thm:chap3-trace-lifting-operator	tex/chapters/ch03-sec04.tex:30	resolved	Uses ref
\ref{prop:chap3-generalized-poincare}	prop:chap3-generalized-poincare	prop:chap3-generalized-poincare	tex/chapters/ch03-sec04.tex:52	resolved	Uses ref
\ref{thm:chap2-lax-milgram}	thm:chap2-lax-milgram	thm:chap2-lax-milgram	tex/chapters/ch03-sec04.tex:52	resolved	Uses ref
\ref{thm:chap3-zero-trace-characterization}	thm:chap3-zero-trace-characterization	thm:chap3-zero-trace-characterization	tex/chapters/ch03-sec04.tex:58	resolved	Uses ref
\ref{thm:chap3-laplace-dirichlet-wellposedness}	thm:chap3-laplace-dirichlet-wellposedness	thm:chap3-laplace-dirichlet-wellposedness	tex/chapters/ch03-sec04.tex:63	resolved	Uses ref
\ref{subsec:chap3-trace-lifting}	subsec:chap3-trace-lifting	subsec:chap3-trace-lifting	tex/chapters/ch03-sec04.tex:70	resolved	Uses ref
\ref{lem:chap3-translation-sobolev-bound}	lem:chap3-translation-sobolev-bound	lem:chap3-translation-sobolev-bound	tex/chapters/ch03-sec04.tex:82,111	resolved	Uses ref
\ref{prop:chap3-sobolev-difference-quotient-characterization}	prop:chap3-sobolev-difference-quotient-characterization	prop:chap3-sobolev-difference-quotient-characterization	tex/chapters/ch03-sec04.tex:93	resolved	Uses ref
\eqref{eq:chap3-admissible-tangential-field}	eq:chap3-admissible-tangential-field	eq:chap3-admissible-tangential-field	tex/chapters/ch03-sec04.tex:102	resolved	Uses eqref
\ref{prop:chap3-curved-translation-properties}	prop:chap3-curved-translation-properties	prop:chap3-curved-translation-properties	tex/chapters/ch03-sec04.tex:102,111	resolved	Uses ref
\ref{subsec:chap3-tangential-sobolev-spaces}	subsec:chap3-tangential-sobolev-spaces	subsec:chap3-tangential-sobolev-spaces	tex/chapters/ch03-sec04.tex:103	resolved	Uses ref
\ref{thm:chap3-tangential-space-characterization}	thm:chap3-tangential-space-characterization	thm:chap3-tangential-space-characterization	tex/chapters/ch03-sec04.tex:115	resolved	Uses ref
\ref{prop:chap3-laplacian-normal-tangential}	prop:chap3-laplacian-normal-tangential	prop:chap3-laplacian-normal-tangential	tex/chapters/ch03-sec04.tex:117	resolved	Uses ref
\eqref{eq:chap3-laplace-normal-tangential-equation}	eq:chap3-laplace-normal-tangential-equation	eq:chap3-laplace-normal-tangential-equation	tex/chapters/ch03-sec04.tex:134,199	resolved	Uses eqref
\eqref{eq:chap3-laplace-geometric-coefficient-bound}	eq:chap3-laplace-geometric-coefficient-bound	eq:chap3-laplace-geometric-coefficient-bound	tex/chapters/ch03-sec04.tex:139	resolved	Uses eqref
\eqref{eq:chap3-laplace-geometric-product-integrability}	eq:chap3-laplace-geometric-product-integrability	eq:chap3-laplace-geometric-product-integrability	tex/chapters/ch03-sec04.tex:139	resolved	Uses eqref
\ref{thm:chap3-tangential-normal-regularity}	thm:chap3-tangential-normal-regularity	thm:chap3-tangential-normal-regularity	tex/chapters/ch03-sec04.tex:139	resolved	Uses ref
IV	chap:fluid-mechanics-spaces	chap:fluid-mechanics-spaces	tex/chapters/ch03-sec04.tex:169	deferred	Target unavailable or uncertain; no number or key was guessed
(IV.10)	eq:chap4-generalized-stokes	eq:chap4-generalized-stokes	tex/chapters/ch03-sec04.tex:169	deferred	Target unavailable or uncertain; no number or key was guessed
3.2	sec:chap4-hdiv	sec:chap4-hdiv	tex/chapters/ch03-sec04.tex:169	deferred	Target unavailable or uncertain; no number or key was guessed
\eqref{eq:chap3-neumann-compatibility}	eq:chap3-neumann-compatibility	eq:chap3-neumann-compatibility	tex/chapters/ch03-sec04.tex:174	resolved	Uses eqref
\eqref{eq:chap3-neumann-energy-bound}	eq:chap3-neumann-energy-bound	eq:chap3-neumann-energy-bound	tex/chapters/ch03-sec04.tex:186	resolved	Uses eqref
\ref{prop:chap3-poincare-wirtinger}	prop:chap3-poincare-wirtinger	prop:chap3-poincare-wirtinger	tex/chapters/ch03-sec04.tex:186,194	resolved	Uses ref
\eqref{eq:chap3-curved-translation-duality-volume}	eq:chap3-curved-translation-duality-volume	eq:chap3-curved-translation-duality-volume	tex/chapters/ch03-sec04.tex:188	resolved	Uses eqref
\ref{thm:chap3-normal-trace-lifting}	thm:chap3-normal-trace-lifting	thm:chap3-normal-trace-lifting	tex/chapters/ch03-sec04.tex:188	resolved	Uses ref
