PDF Page	Printed Page	Source Scope	Translation Target	Coverage	Verification
264	252	Section 4 opening after the conclusion of Proposition IV.3.7	tex/chapters/ch04-sec04.tex	covered	Section introduction and forward references checked; preceding Section 3 conclusion excluded
265	253	Poincare results and Lemma IV.4.1 statement/proof opening	tex/chapters/ch04-sec04.tex	covered	Equation IV.12, both potential formulas, and proof opening checked against source
266	254	Lemma IV.4.1 proof conclusion and Lemma IV.4.2 opening	tex/chapters/ch04-sec04.tex	covered	Componentwise curl calculation and maximal connected-open-set argument checked
267	255	Lemma IV.4.2 homotopy proof	tex/chapters/ch04-sec04.tex	covered	Path construction, simply connected homotopy, and line-integral derivative checked
268	256	Lemma IV.4.2 conclusion and Lemma IV.4.3	tex/chapters/ch04-sec04.tex	covered	Gluing argument and compactly supported vector-potential construction checked
269	257	Subsection 4.2.1 and Definition IV.4.4	tex/chapters/ch04-sec04.tex	covered	Hcurl spaces, traces, equation IV.13, and local boundary discussion checked
270	258	Proposition IV.4.5 statement and proof opening	tex/chapters/ch04-sec04.tex	covered	Equation IV.14, boundary-neighborhood setup, and normal extension checked
271	259	Figure IV.1 and Proposition IV.4.5 proof continuation	tex/chapters/ch04-sec04.tex	covered	Exact source figure retained; Jacobian identity and divergence calculation checked
272	260	Proposition IV.4.5 proof conclusion	tex/chapters/ch04-sec04.tex	covered	Right-inverse corrections, exterior construction, vector potential, and trace conclusion checked
273	261	Hdivcurlnu definitions and Lemma IV.4.6	tex/chapters/ch04-sec04.tex	covered	Equation IV.15, smoothness argument, scalar potential, and final Stokes identity checked
274	262	Subsection 4.2.2 and Theorem IV.4.7 proof part 1	tex/chapters/ch04-sec04.tex	covered	Dense set, tangential-normal approximation, and source notation inconsistency preserved
275	263	Theorem IV.4.7 proof part 2	tex/chapters/ch04-sec04.tex	covered	Mollification, Neumann correction, compatibility, and convergence estimates checked
276	264	Theorem IV.4.7 conclusion and Theorem IV.4.8 opening	tex/chapters/ch04-sec04.tex	covered	Equations IV.16--IV.21 and closed/dense range argument opening checked
277	265	Theorem IV.4.8 proof continuation	tex/chapters/ch04-sec04.tex	covered	Lifting argument and equation IV.22 with all boundary terms checked
278	266	Theorem IV.4.8 proof conclusion	tex/chapters/ch04-sec04.tex	covered	Equation IV.23, trace/Young estimate, contradiction equations IV.24--IV.25 checked
279	267	Theorem IV.4.9 and Subsection 4.3 opening	tex/chapters/ch04-sec04.tex	covered	Higher-regularity statement, Lemma IV.4.10, proof, and Remark IV.4.1 checked
280	268	Theorem IV.4.11 statement and proof part 1	tex/chapters/ch04-sec04.tex	covered	Equations IV.26--IV.29, Leray projection, uniqueness, and closed-image proof checked
281	269	Theorem IV.4.11 proof conclusion and Subsection 4.4 opening	tex/chapters/ch04-sec04.tex	covered	Orthogonal characterization, boundary flux conditions, and printed dimension anomaly preserved
282	270	Theorem IV.4.12 statement and proof opening	tex/chapters/ch04-sec04.tex	covered	Problem IV.30, compatibility, regularity estimates, and two-potential construction checked
283	271	Theorem IV.4.12 conclusion and Theorem IV.4.13 opening	tex/chapters/ch04-sec04.tex	covered	Uniqueness/regularity conclusion, no-boundary theorem statement, Remark IV.4.2, and proof setup checked
284	272	Theorem IV.4.13 proof for k equals 0	tex/chapters/ch04-sec04.tex	covered	Exterior components, Neumann extensions, global divergence-free extension, and H1 potential checked
285	273	Theorem IV.4.13 proof for k equals 1 before Section 5	tex/chapters/ch04-sec04.tex	covered	Trace lifting, divergence correction, H2 potential, and proof conclusion checked; Section 5 material excluded
