PDF Page	Printed Page	Source Scope	Translation Target	Coverage	Verification
318	306	Section 7 opening, problem IV.71, Theorem IV.7.1, equations IV.72--IV.73	tex/chapters/ch04-sec07.tex	covered	Section title, problem, compatibility condition, spaces, uniqueness, regularity assumptions, and estimate checked
319	307	Theorem IV.7.1 proof, Step 1 and reduction IV.74	tex/chapters/ch04-sec07.tex	covered	Divergence lifting, mean correction, pressure constant, boundary condition, and zero-mean reduction checked
320	308	Theorem IV.7.1 proof, Step 2, equations IV.75--IV.76	tex/chapters/ch04-sec07.tex	covered	Space W, variational problem, Poincare--Wirtinger argument, source-spelled Lax--Migram attribution, and compatibility cancellation checked
321	309	Theorem IV.7.1 proof, stress trace relations IV.77--IV.78	tex/chapters/ch04-sec07.tex	covered	de Rham pressure, tensor integration, printed test space V, divergence-free lifting, and zero-flux trace pairing checked
322	310	Theorem IV.7.1 proof conclusion	tex/chapters/ch04-sec07.tex	covered	Normal complement argument, pressure shift, exact boundary recovery, and uniqueness checked
323	311	Subsection 7.2 opening, boundary lifting, mixed form IV.79	tex/chapters/ch04-sec07.tex	covered	Nonzero divergence reduction, normal trace lifting, transformed data, estimates, and mixed variational system checked
324	312	Theorem IV.7.2, Remark IV.7.1, and proof setup	tex/chapters/ch04-sec07.tex	covered	Tangential regularity statement, nonhomogeneous extension, initial system, boundary-regularity caveat, and translated-coordinate setup checked
325	313	Theorem IV.7.2 proof and equation IV.80	tex/chapters/ch04-sec07.tex	covered	Curved translation identities, commutators T1--T5, signs, and estimates checked
326	314	Theorem IV.7.2 proof, equations IV.81--IV.82	tex/chapters/ch04-sec07.tex	covered	Pressure estimate, second variational test, four divergence terms, and printed bracket term checked
327	315	Theorem IV.7.2 conclusion, Theorem IV.7.3, and Subsection 7.3 opening	tex/chapters/ch04-sec07.tex	covered	Tangential velocity-pressure bounds, full regularity statement, divergence-form motivation, and source cross-references checked
328	316	Stress formulation, equations IV.83--IV.84	tex/chapters/ch04-sec07.tex	covered	Newton stress tensor, symmetric gradient, pressure replacement, physical boundary traction, and every sign checked
329	317	Theorem IV.7.4	tex/chapters/ch04-sec07.tex	covered	Dimension, compatibility conditions, solution spaces, normalization, higher regularity, and estimate checked
330	318	Remark IV.7.2 and preliminary compatibility analysis	tex/chapters/ch04-sec07.tex	covered	Rigid motions, Schwarz theorem, translation and rotation normalizations, divergence identity, and two compatibility conditions checked
331	319	Existence proof, equations IV.85--IV.86, Lemma IV.7.6 opening	tex/chapters/ch04-sec07.tex	covered	Normalized Hilbert space, weak formulation, Lax--Milgram setup, and Korn inequality statement checked
332	320	Lemma IV.7.6 proof, Remark IV.7.3, equation IV.87	tex/chapters/ch04-sec07.tex	covered	Distributional derivative identity, Necas estimate, zero-boundary Korn argument, factor 2, and density conclusion checked
333	321	Proposition IV.7.7 and existence proof conclusion	tex/chapters/ch04-sec07.tex	covered	Contradiction sequence, compactness, printed terminal dimension d, compatibility cancellations, pressure recovery, and uniqueness checked
334	322	Regularity subsection, Lemma IV.7.8, equations IV.88--IV.90	tex/chapters/ch04-sec07.tex	covered	Scalar Neumann lifting, zero mean, H2 estimate, variational formulation, and boundary difference quotient setup checked
335	323	Lemma IV.7.8 proof conclusion and Section 7 closing sentence	tex/chapters/ch04-sec07.tex	covered	Only the Section 7 material above the Section 8 heading was included; III.90 estimate, dual norm bound, proof conclusion, and closing sentence checked
