Source Reference	Target Object	LaTeX Key	Translation Location	Status	Notes
[1, 27, 92, 117, 33]	bib:sobolev-space-sources	bib:sobolev-space-sources	tex/chapters/ch03-sec02.tex:8	deferred	Target unavailable or uncertain; no number or key was guessed
\ref{subsec:chap2-distributions}	subsec:chap2-distributions	subsec:chap2-distributions	tex/chapters/ch03-sec02.tex:19	resolved	Uses ref
\ref{def:chap3-local-sobolev-space}	def:chap3-local-sobolev-space	def:chap3-local-sobolev-space	tex/chapters/ch03-sec02.tex:46	resolved	Uses ref
\ref{lem:chap2-cutoff-function}	lem:chap2-cutoff-function	lem:chap2-cutoff-function	tex/chapters/ch03-sec02.tex:55,1027	resolved	Uses ref
\ref{prop:chap2-mcshane-whitney-extension}	prop:chap2-mcshane-whitney-extension	prop:chap2-mcshane-whitney-extension	tex/chapters/ch03-sec02.tex:66,759	resolved	Uses ref
\eqref{eq:chap2-mollified-convolution}	eq:chap2-mollified-convolution	eq:chap2-mollified-convolution	tex/chapters/ch03-sec02.tex:71,669	resolved	Uses eqref
\ref{prop:chap2-mollification-lipschitz}	prop:chap2-mollification-lipschitz	prop:chap2-mollification-lipschitz	tex/chapters/ch03-sec02.tex:71,669	resolved	Uses ref
\ref{prop:chap3-w1infty-lipschitz-representative}	prop:chap3-w1infty-lipschitz-representative	prop:chap3-w1infty-lipschitz-representative	tex/chapters/ch03-sec02.tex:84,1027	resolved	Uses ref
\ref{subsec:chap3-lipschitz-domains}	subsec:chap3-lipschitz-domains	subsec:chap3-lipschitz-domains	tex/chapters/ch03-sec02.tex:113,1016	resolved	Uses ref
\eqref{eq:chap3-inward-shifted-ball}	eq:chap3-inward-shifted-ball	eq:chap3-inward-shifted-ball	tex/chapters/ch03-sec02.tex:129,143,332	resolved	Uses eqref
\eqref{eq:chap3-beta-support}	eq:chap3-beta-support	eq:chap3-beta-support	tex/chapters/ch03-sec02.tex:185	resolved	Uses eqref
\eqref{eq:chap3-inward-kernel-partition}	eq:chap3-inward-kernel-partition	eq:chap3-inward-kernel-partition	tex/chapters/ch03-sec02.tex:185,208	resolved	Uses eqref
\eqref{eq:chap3-inward-mollifier-integral}	eq:chap3-inward-mollifier-integral	eq:chap3-inward-mollifier-integral	tex/chapters/ch03-sec02.tex:185,185	resolved	Uses eqref
\eqref{eq:chap3-mollifier-lp-contractions}	eq:chap3-mollifier-lp-contractions	eq:chap3-mollifier-lp-contractions	tex/chapters/ch03-sec02.tex:185	resolved	Uses eqref
\eqref{eq:chap3-outward-shifted-ball}	eq:chap3-outward-shifted-ball	eq:chap3-outward-shifted-ball	tex/chapters/ch03-sec02.tex:206	resolved	Uses eqref
\eqref{eq:chap3-beta-convergence}	eq:chap3-beta-convergence	eq:chap3-beta-convergence	tex/chapters/ch03-sec02.tex:221,256	resolved	Uses eqref
\eqref{eq:chap3-beta-lp-bound}	eq:chap3-beta-lp-bound	eq:chap3-beta-lp-bound	tex/chapters/ch03-sec02.tex:221	resolved	Uses eqref
\eqref{eq:chap3-outward-kernel-partition}	eq:chap3-outward-kernel-partition	eq:chap3-outward-kernel-partition	tex/chapters/ch03-sec02.tex:227	resolved	Uses eqref
\eqref{eq:chap3-outward-mollifier}	eq:chap3-outward-mollifier	eq:chap3-outward-mollifier	tex/chapters/ch03-sec02.tex:227	resolved	Uses eqref
\eqref{eq:chap3-mollifier-gradient}	eq:chap3-mollifier-gradient	eq:chap3-mollifier-gradient	tex/chapters/ch03-sec02.tex:274	resolved	Uses eqref
\eqref{eq:chap3-mollified-lipschitz-bound}	eq:chap3-mollified-lipschitz-bound	eq:chap3-mollified-lipschitz-bound	tex/chapters/ch03-sec02.tex:282	resolved	Uses eqref
\ref{prop:chap3-mollifier-properties}	prop:chap3-mollifier-properties	prop:chap3-mollifier-properties	tex/chapters/ch03-sec02.tex:284,960,968,1541,1611	resolved	Uses ref
\ref{thm:chap2-ascoli}	thm:chap2-ascoli	thm:chap2-ascoli	tex/chapters/ch03-sec02.tex:284	resolved	Uses ref
\ref{thm:chap3-friedrichs-commutator}	thm:chap3-friedrichs-commutator	thm:chap3-friedrichs-commutator	tex/chapters/ch03-sec02.tex:318,324,451,455,472,483,968,983,990,1003,1537,1541,1611	resolved	Uses ref
\eqref{eq:chap3-commutator-derivative-bound}	eq:chap3-commutator-derivative-bound	eq:chap3-commutator-derivative-bound	tex/chapters/ch03-sec02.tex:424	resolved	Uses eqref
