PDF Page	Printed Page	Source Scope	Translation Target	Coverage	Verification
381	370	Section 2 opening, Theorem V.2.1, energy equality V.32, and Theorem V.2.2 opening	tex/chapters/ch05-sec02.tex	covered	Motivation, data regularity, two- and three-dimensional solution spaces, time scope, pressure, energy, and small-data interpretation checked
382	371	Theorem V.2.2 conclusion, Theorem V.2.3, Subsection 2.1, and Galerkin equation V.33	tex/chapters/ch05-sec02.tex	covered	Small-data bounds, uniform-time theorem, projected Laplacian test, Stokes eigenbasis, and variational identity checked
383	372	Tests with v_N, dv_N/dt, and Av_N, nonlinear estimate, and equation V.34	tex/chapters/ch05-sec02.tex	covered	All three identities, Hölder--Sobolev--Young chain, exponents, powers, and dimension split checked
384	373	Subsection 2.2.1, equations V.35--V.38, and Gronwall setup	tex/chapters/ch05-sec02.tex	covered	Weak energy estimate, two-dimensional specialization, integrated estimate, projection bound, and k_N definition checked
385	374	Two-dimensional bounds, compactness passage, strong-solution spaces, and pressure regularity	tex/chapters/ch05-sec02.tex	covered	Uniform gradient and Stokes-operator bounds, weak convergences, continuity in V, pressure gradient, and Poincaré--Wirtinger step checked
386	375	Subsection 2.2.2 and proof of Theorem V.2.3	tex/chapters/ch05-sec02.tex	covered	Time-independent regularization, smallest eigenvalue, decay estimate, unit-interval integration, uniform Gronwall, and weak lower semicontinuity checked
387	376	Subsection 2.3.1, equations V.39--V.41, and Proposition V.2.4	tex/chapters/ch05-sec02.tex	covered	Three-dimensional differential estimate, implicit lifetime, nonlinear Gronwall bound, lifetime behavior, and H2 estimate checked
388	377	Propositions V.2.5--V.2.6, equations V.42--V.44, Remark V.2.1, and convergence opening	tex/chapters/ch05-sec02.tex	covered	Fourth-power nonlinear estimate, transpose projection equation, time derivative bound, and compactness spaces checked
389	378	Strong limit conclusion and Subsection 2.3.2 uniqueness argument	tex/chapters/ch05-sec02.tex	covered	Strong solution and pressure spaces, difference formulation, admissible test, interpolation, Young, and Gronwall calculations checked
390	379	Uniqueness conclusion, Theorem V.2.7, equation V.45, and proof opening	tex/chapters/ch05-sec02.tex	covered	Weak--strong statement, L4 condition, energy equality justification, admissible cross tests, and both weak identities checked
391	380	Equations V.46--V.48 and conclusion of weak--strong uniqueness	tex/chapters/ch05-sec02.tex	covered	Cross energy, energy inequality/equality combination, nonlinear estimate, L4 integrability, and Gronwall conclusion checked
392	381	Remark V.2.2, Theorem V.2.8, equations V.49--V.50, and Remark V.2.3 opening	tex/chapters/ch05-sec02.tex	covered	Both caveats, source bibliography numbers preserved unresolved, Prodi--Serrin conditions, conclusions, and dual-space motivation checked
393	382	Remark V.2.3 conclusion, Subsection 2.3.3, and Lemma V.2.9 opening	tex/chapters/ch05-sec02.tex	covered	Space and time Hölder exponents, X-duality estimate, small-data motivation, and nonlinear differential inequality checked
394	383	Lemma V.2.9 hypotheses and proof, and proof of Theorem V.2.2 opening	tex/chapters/ch05-sec02.tex	covered	Square-root thresholds, maximal-time contradiction, linear decay, and application to the Stokes eigenvalue estimate checked
395	384	Theorem V.2.2 conclusion, Subsection 2.4, Theorem V.2.10, and Corollary V.2.11 opening	tex/chapters/ch05-sec02.tex	covered	No finite-time blow-up, all velocity and pressure regularity rows, integer-part case, and continuity conclusions checked
396	385	Corollary V.2.11 conclusion and proof, Theorem V.2.10 proof setup, and equation V.51	tex/chapters/ch05-sec02.tex	covered	Continuity spaces, Reynolds normalization, formal-estimate disclaimer, derivative notation, induction, parity split, and differentiated equation checked
397	386	Equations V.52--V.54 and compatibility construction	tex/chapters/ch05-sec02.tex	covered	Initial recursion, projection, trace existence, product regularity, initial Sobolev order, and boundary compatibility checked
398	387	Equations V.55--V.56 and odd-order energy estimate	tex/chapters/ch05-sec02.tex	covered	Top-order test, induction spaces, nonlinear separation, k_1 and k_2 bounds, and Gronwall conclusion checked
399	388	Odd-order Stokes descent and even-order proof opening	tex/chapters/ch05-sec02.tex	covered	Time derivative, Stokes source regularity, pressure recovery, reverse induction, even-parity initial space, and L2-test setup checked
400	389	Even-order proof conclusion and Subsection 2.5 discussion	tex/chapters/ch05-sec02.tex	covered	Vanishing nonlinear term, remaining estimates, descending Stokes recurrence, diffusion irreversibility, 3D caveat, and scope of regularization result checked
401	390	Theorem V.2.12 and proof through the weighted energy estimate	tex/chapters/ch05-sec02.tex	covered	Statement, time-independent weak identity, w=t dot v construction, differentiated equation, cancellation, and g-h estimate checked
402	391 top	Theorem V.2.12 proof conclusion before Section 3 begins	tex/chapters/ch05-sec02.tex	covered	Gronwall bound, derivative regularity, time continuity, positive-time strong solution, H2 velocity, and H1 pressure checked; Section 3 opening excluded
