Record Type	Original Reference	Target Object	LaTeX Label	Command	Translation Location	Target Location	Status
target		section	sec:chap4-divergence-spaces	label	tex/chapters/ch04-sec03.tex:2	tex/chapters/ch04-sec03.tex:2	defined
target		subsection	subsec:chap4-divergence-right-inverse	label	tex/chapters/ch04-sec03.tex:10	tex/chapters/ch04-sec03.tex:10	defined
target		theorem	thm:chap4-divergence-right-inverse	label	tex/chapters/ch04-sec03.tex:15	tex/chapters/ch04-sec03.tex:15	defined
target		remark	rem:chap4-bogovskii-right-inverse	label	tex/chapters/ch04-sec03.tex:22	tex/chapters/ch04-sec03.tex:22	defined
target		remark	rem:chap4-divergence-right-inverse-lp	label	tex/chapters/ch04-sec03.tex:26	tex/chapters/ch04-sec03.tex:26	defined
target		equation	eq:chap4-laplace-neumann-right-inverse	label	tex/chapters/ch04-sec03.tex:90	tex/chapters/ch04-sec03.tex:90	defined
target		subsection	subsec:chap4-hdiv-space	label	tex/chapters/ch04-sec03.tex:147	tex/chapters/ch04-sec03.tex:147	defined
target		definition	def:chap4-hdiv-space	label	tex/chapters/ch04-sec03.tex:150	tex/chapters/ch04-sec03.tex:150	defined
target		equation	eq:chap4-hdiv-stokes-formula	label	tex/chapters/ch04-sec03.tex:178	tex/chapters/ch04-sec03.tex:178	defined
target		lemma	lem:chap4-tensor-stokes-formula	label	tex/chapters/ch04-sec03.tex:192	tex/chapters/ch04-sec03.tex:192	defined
target		subsection	subsec:chap4-leray-decomposition	label	tex/chapters/ch04-sec03.tex:202	tex/chapters/ch04-sec03.tex:202	defined
target		lemma	lem:chap4-divergence-free-h01-closure	label	tex/chapters/ch04-sec03.tex:213	tex/chapters/ch04-sec03.tex:213	defined
target		theorem	thm:chap4-leray-decomposition-characterization	label	tex/chapters/ch04-sec03.tex:235	tex/chapters/ch04-sec03.tex:235	defined
target		equation	eq:chap4-leray-orthogonal-gradient-space	label	tex/chapters/ch04-sec03.tex:243	tex/chapters/ch04-sec03.tex:243	defined
target		definition	def:chap4-leray-decomposition	label	tex/chapters/ch04-sec03.tex:299	tex/chapters/ch04-sec03.tex:299	defined
target		proposition	prop:chap4-leray-projection-h1	label	tex/chapters/ch04-sec03.tex:312	tex/chapters/ch04-sec03.tex:312	defined
reference	\par\noindent\refstepcounter{chapterfoursectionthreeremark}\textbf{Remark~\thechapterfoursectionthreeremark:}\label{rem:chap4-divergence-right-inverse-lp}\quad 按照 Remark~\ref{rem:chap4-necas-lq-version}, 可以证明: 若把 $L_0^2(\Omega)$ 换成 $L_0^p(\Omega)$, 并把 $(H_0^1(\Omega))^d$ 换成 $(W_0^{1,p}(\Omega))^d$, 则对 $1<p<+\infty$ 同一结果仍然成立. 然而, 对 $p=1$ 或 $p=+\infty$ 该结果不成立. 关于这些问题的详细讨论, 特别是上述定理的某种替代证明, 例如可参见\MBUnresolvedReference{bib:divergence-right-inverse-lp}{[21]}.	remark	rem:chap4-necas-lq-version	ref	tex/chapters/ch04-sec03.tex:26	tex/chapters/ch04-sec01.tex:54	resolved
reference	先前已经看到 (Theorem~\ref{thm:chap4-gradient-image-closed}), 从 $L^2(\Omega)$ 到 $(H^{-1}(\Omega))^d$ 的映射 $\nabla$ 具有闭值域, 因而该值域是 Banach 空间. 令 $N$ 为这个映射的核; 则映射 $\nabla$ 可以看作从 $L^2(\Omega)/N$ 到 $\nabla(L^2(\Omega))$ 的连续线性双射. 因此由开映射定理 (Theorem~\ref{thm:chap2-open-mapping}), $\nabla$ 给出 $L^2(\Omega)/N$ 与 $\nabla(L^2(\Omega))$ 之间的 Banach 空间同构.	theorem	thm:chap4-gradient-image-closed	ref	tex/chapters/ch04-sec03.tex:29	tex/chapters/ch04-sec02.tex:31	resolved
reference	先前已经看到 (Theorem~\ref{thm:chap4-gradient-image-closed}), 从 $L^2(\Omega)$ 到 $(H^{-1}(\Omega))^d$ 的映射 $\nabla$ 具有闭值域, 因而该值域是 Banach 空间. 令 $N$ 为这个映射的核; 则映射 $\nabla$ 可以看作从 $L^2(\Omega)/N$ 到 $\nabla(L^2(\Omega))$ 的连续线性双射. 因此由开映射定理 (Theorem~\ref{thm:chap2-open-mapping}), $\nabla$ 给出 $L^2(\Omega)/N$ 与 $\nabla(L^2(\Omega))$ 之间的 Banach 空间同构.	theorem	thm:chap2-open-mapping	ref	tex/chapters/ch04-sec03.tex:29	tex/chapters/ch02-sec02.tex:46	resolved
reference	\item $(\nabla(L^2(\Omega)))'$ 是 $\nabla(L^2(\Omega))$ 上连续线性泛函的集合; 它自然地等同于 $((H^{-1}(\Omega))^d)'$ 关于所有在 $\nabla(L^2(\Omega))$ 上为零的线性泛函所成空间的商, 使用 Theorem~\ref{thm:chap4-de-rham-hminusone} 证明中的记号, 后一个空间就是 $Z$. 此外, $(H_0^1(\Omega))^d$ 自反, 所以 $((H^{-1}(\Omega))^d)'$ 自然地等同于 $(H_0^1(\Omega))^d$. 总之,	theorem	thm:chap4-de-rham-hminusone	ref	tex/chapters/ch04-sec03.tex:33	tex/chapters/ch04-sec02.tex:84	resolved
reference	现在给出 Theorem~\ref{thm:chap4-divergence-right-inverse} 在一个特殊情形下的替代证明, 例如见\MBUnresolvedReference{bib:divergence-right-inverse-2d}{[26]}.	theorem	thm:chap4-divergence-right-inverse	ref	tex/chapters/ch04-sec03.tex:77	tex/chapters/ch04-sec03.tex:15	resolved
reference	由于 $\Omega$ 属于 $C^{1,1}$ 类且 $\int_\Omega q\,\mathrm dx=0$, Theorem~\ref{thm:chap3-laplace-neumann} 蕴含式\eqref{eq:chap4-laplace-neumann-right-inverse}存在解 $\psi\in H^2(\Omega)$, 并且 $\|\psi\|_{H^2}\leq C\|q\|_{L^2}$. 令 $v=-\nabla\psi$, 则 $v\in(H^1(\Omega))^2$, $\operatorname{div}v=q$, 且 $\|v\|_{H^1}\leq C\|q\|_{L^2}$. 遗憾的是, $v$ 在边界上并不为零, 因为只有	theorem	thm:chap3-laplace-neumann	ref	tex/chapters/ch04-sec03.tex:92	tex/chapters/ch03-sec04.tex:146	resolved
reference	由于 $\Omega$ 属于 $C^{1,1}$ 类且 $\int_\Omega q\,\mathrm dx=0$, Theorem~\ref{thm:chap3-laplace-neumann} 蕴含式\eqref{eq:chap4-laplace-neumann-right-inverse}存在解 $\psi\in H^2(\Omega)$, 并且 $\|\psi\|_{H^2}\leq C\|q\|_{L^2}$. 令 $v=-\nabla\psi$, 则 $v\in(H^1(\Omega))^2$, $\operatorname{div}v=q$, 且 $\|v\|_{H^1}\leq C\|q\|_{L^2}$. 遗憾的是, $v$ 在边界上并不为零, 因为只有	equation	eq:chap4-laplace-neumann-right-inverse	eqref	tex/chapters/ch04-sec03.tex:92	tex/chapters/ch04-sec03.tex:90	resolved
reference	在 $\partial\Omega$ 上令 $g=v\wedge\nu$, 则 $g\in H^{1/2}(\partial\Omega)$. 现在使用 Remark~\ref{rem:chap3-normal-lifting-decomposition} 中构造的提升算子 $R$. 令 $\varphi=R(0,g)\in H^2(\Omega)$, 则 $\varphi$ 满足	remark	rem:chap3-normal-lifting-decomposition	ref	tex/chapters/ch04-sec03.tex:97	tex/chapters/ch03-sec02.tex:832	resolved
reference	使用 Chapter~\ref{chap:sobolev-spaces} 的 Section~\ref{subsec:chap3-first-order-operator-domains} 中引入的记号, 可见 $H_{\operatorname{div}}(\Omega)$ 恰好是散度算子在 $L^2$ 中的定义域. 更准确地说,	chapter	chap:sobolev-spaces	ref	tex/chapters/ch04-sec03.tex:164	tex/chapters/ch03-sec01.tex:2	resolved
reference	使用 Chapter~\ref{chap:sobolev-spaces} 的 Section~\ref{subsec:chap3-first-order-operator-domains} 中引入的记号, 可见 $H_{\operatorname{div}}(\Omega)$ 恰好是散度算子在 $L^2$ 中的定义域. 更准确地说,	subsection	subsec:chap3-first-order-operator-domains	ref	tex/chapters/ch04-sec03.tex:164	tex/chapters/ch03-sec02.tex:1527	resolved
reference	于是可以用这个记号重新表述 Chapter~\ref{chap:sobolev-spaces} 的 Section~\ref{subsec:chap3-first-order-operator-domains} 中得到的各个结果:	chapter	chap:sobolev-spaces	ref	tex/chapters/ch04-sec03.tex:169	tex/chapters/ch03-sec01.tex:2	resolved
reference	于是可以用这个记号重新表述 Chapter~\ref{chap:sobolev-spaces} 的 Section~\ref{subsec:chap3-first-order-operator-domains} 中得到的各个结果:	subsection	subsec:chap3-first-order-operator-domains	ref	tex/chapters/ch04-sec03.tex:169	tex/chapters/ch03-sec02.tex:1527	resolved
reference	\item 空间 $(C_c^\infty(\overline\Omega))^d$ 在 $H_{\operatorname{div}}(\Omega)$ 中稠密 (见 Theorem~\ref{thm:chap3-graph-space-density}).	theorem	thm:chap3-graph-space-density	ref	tex/chapters/ch04-sec03.tex:171	tex/chapters/ch03-sec02.tex:1536	resolved
