PDF Page	Printed Page	Source Scope	Translation Target	Coverage	Verification
444	434	Section 1 final remark, Section 2 opening, viscosity hypothesis VI.37, and Theorem VI.2.1 opening	tex/chapters/ch06-sec02.tex	covered	Section boundary, existence objective, viscosity bounds, data spaces, and theorem hypotheses checked in source order
445	435	Theorem VI.2.1 system VI.38--VI.40, initial-data interpretation, Remark VI.2.1, and Section 2.2 opening	tex/chapters/ch06-sec02.tex	covered	Mass, momentum, incompressibility, weak initial momentum, boundary-data remark, and approximation roadmap checked
446	436	Positive-density approximations VI.41, Definition VI.2.2, approximate momentum VI.42, and fixed-point setup	tex/chapters/ch06-sec02.tex	covered	All data approximations, finite-dimensional unknowns, transport problem, initial velocity, and variational equation checked
447	437	Transport system VI.43--VI.45, linearized momentum VI.46, and ODE VI.47	tex/chapters/ch06-sec02.tex	covered	Printed rho_0 in VI.43 and printed viscosity sign in VI.46 retained exactly and recorded in QA
448	438	Gram matrix, fixed-point map, integrated momentum VI.48, and transport product identity VI.49	tex/chapters/ch06-sec02.tex	covered	Invertibility, continuity setup, endpoint terms, and product-rule calculation checked term by term
449	439	Skew form VI.50, conservative form VI.51, and energy pre-estimate VI.52	tex/chapters/ch06-sec02.tex	covered	All signs, endpoint data, convection terms, viscosity terms, and forcing terms checked against the rendered source
450	440	Nonlinear boundary-velocity estimate, energy estimate VI.53, and Gronwall estimate VI.54	tex/chapters/ch06-sec02.tex	covered	Hölder, Sobolev, Young, lower-density use, and all powers and norms checked
451	441	Invariant set, relative compactness, and opening of continuity proof for the fixed-point map	tex/chapters/ch06-sec02.tex	covered	Finite-dimensional bounds, Ascoli argument, subsequence extraction, and density convergence checked
452	442	Continuity proof, derivative bound VI.55, and Schauder fixed-point conclusion	tex/chapters/ch06-sec02.tex	covered	Limit passage in the linearized problem, time regularity, continuity of Theta_k, and existence conclusion checked
453	443	Section 2.3, Lemma VI.2.3 with VI.56--VI.58, Remark VI.2.2, and Lemma VI.2.4 opening	tex/chapters/ch06-sec02.tex	covered	Uniform density, energy, interpolation, dimension restriction, and density time-derivative spaces checked
454	444	Lemma VI.2.4 proof, time-translation setup, Lemma VI.2.5, and VI.59--VI.60	tex/chapters/ch06-sec02.tex	covered	Transport derivative estimate, weighted velocity translation, algebraic decomposition, and endpoint ranges checked
455	445	Detailed estimates for time-translation term A	tex/chapters/ch06-sec02.tex	covered	All integrations, test spaces, powers, and the printed h exponent were retained and checked; the suspicious source exponent is recorded in QA
456	446	Equations VI.61--VI.63, estimate of term B, and Lemma VI.2.6 opening	tex/chapters/ch06-sec02.tex	covered	Momentum translation, density testing, Sobolev products, and final weighted estimate checked term by term
457	447	Lemma VI.2.6 proof, Proposition VI.2.7, and Section 2.4 opening	tex/chapters/ch06-sec02.tex	covered	Nikolskii compactness argument, strong momentum convergence, and limit-extraction setup checked
458	448	Density compactness, trace and initial limits, and velocity weak limit VI.64	tex/chapters/ch06-sec02.tex	covered	All weak, weak-star, and strong convergence spaces and transport stability conclusions checked
459	449	Momentum limits VI.65--VI.66, strong viscosity limit VI.67, and negative-space limit VI.68	tex/chapters/ch06-sec02.tex	covered	Printed rho_k^0 and compact-embedding threshold retained exactly; all convergence exponents checked and anomalies recorded in QA
460	450	Tensor convergence, limit momentum identity VI.69, and pressure recovery	tex/chapters/ch06-sec02.tex	covered	Nonlinear product limit, test-function density, forcing limit, and de Rham pressure step checked
461	451	Distribution identity VI.70 and recovery of the weak initial momentum condition	tex/chapters/ch06-sec02.tex	covered	Time continuity, integration by parts, endpoint evaluation, and initial condition comparison checked
462	452	Section 2.5 no-vacuum case and strengthened velocity conclusions	tex/chapters/ch06-sec02.tex	covered	Positive lower bound, unweighted energy and translation estimates, strong convergence, and time-continuity remarks checked
