Source Reference	Target Object	LaTeX Key	Translation Location	Status	Notes
[69]	Translation-operator continuity bibliography entry	bib:translation-continuity	Before Corollary II.5.4	deferred	Bibliography key unavailable; rendered by MBUnresolvedReference without guessing
Propositions II.2.27, II.2.28, II.2.30, II.2.32	Lp weak compactness and convergence results	prop:chap2-bounded-lp-weak-subsequence; prop:chap2-bounded-linfty-weak-star-subsequence; prop:chap2-lp-strong-times-weak; prop:chap2-weak-plus-norm-implies-strong-lp	Section 5.1 mixed-space discussion	resolved	Every target exists and uses Proposition~\ref
Lemma II.2.33	Lp interpolation lemma	lem:chap2-lp-interpolation	Proof of Theorem II.5.5	resolved	Uses Lemma~\ref
(II.21)	Mixed-space interpolation exponents	eq:chap2-mixed-interpolation-exponents	Corollary II.5.6	resolved	Uses \eqref
[113]	Vector-valued distribution bibliography entry	bib:vector-valued-distributions	Section 5.2.1 introduction	deferred	Bibliography key unavailable; no target guessed
(II.22)	Weak time derivative identity	eq:chap2-weak-time-derivative	After Definition II.5.7	resolved	Uses \eqref
[85]	Weak-continuity bibliography entry	bib:weak-continuity-result	Before Lemma II.5.9	deferred	Bibliography key unavailable; no target guessed
Proposition II.2.1	Dual norm characterisation	prop:chap2-norm-by-duality	Proof of Lemma II.5.9	resolved	Uses Proposition~\ref
(II.23)	Pointwise X-norm bound	eq:chap2-weak-continuity-pointwise-bound	Proof of Lemma II.5.9	resolved	Uses \eqref
Corollary II.5.4	Translation continuity	cor:chap2-banach-translation-continuity	Proof of Lemma II.5.10	resolved	Uses Corollary~\ref
Section 4	One-real-variable results	sec:chap2-one-real-variable	Proof of Proposition II.5.11	resolved	Uses Section~\ref
Remark II.5.3	Weak-star smooth approximation	rem:chap2-epq-weak-star-density	Proof of Theorem II.5.12	resolved	Uses Remark~\ref
Proposition II.2.12	Strong-weak bilinear convergence	prop:chap2-strong-weak-bilinear	Proof of Theorem II.5.12	resolved	Uses Proposition~\ref
Corollary II.4.2	Continuous representative of W^{1,1}	cor:chap2-w11-continuous-representative	Proof of Theorem II.5.12 and zero-extension discussion	resolved	Uses Corollary~\ref
[85]	Lions--Magenes interpolation bibliography entry	bib:lions-magenes-interpolation	Before and after Theorem II.5.14	deferred	Bibliography key unavailable; no target guessed
Chapter IV; Theorem IV.5.11	Future special-case proof	chap:future-chapter-iv; thm:future-iv-5-11	After Theorem II.5.14	deferred	Future targets are rendered by MBUnresolvedReference without fabricated numbers
[84]	J.-L. Lions compactness-lemma bibliography entry	bib:lions-compactness-lemma	Section 5.3 introduction	deferred	Bibliography key unavailable; no target guessed
[109, 14]	Compactness proof provenance	bib:simon-compact-sets; bib:aubin-compactness	Before proof of Theorem II.5.16	deferred	Bibliography keys unavailable; no targets guessed
Lemma II.5.15	Epsilon compactness inequality	lem:chap2-lions-epsilon-inequality	Proof of Theorem II.5.16	resolved	Uses Lemma~\ref
Theorem II.3.1	Ascoli theorem	thm:chap2-ascoli	Proof of Theorem II.5.16	resolved	Uses Theorem~\ref
(II.25)	Aubin--Lions remainder estimate	eq:chap2-aubin-lions-remainder	Proof of Theorem II.5.16	resolved	Uses \eqref
(II.20)	Translation definition	eq:chap2-banach-translation	Nikolskii-space introduction	resolved	Uses \eqref
[109]	Nikolskii compactness bibliography entry	bib:simon-nikolskii-compactness	Before Theorem II.5.17	deferred	Bibliography key unavailable; no target guessed
Proposition II.5.23	Fourier criterion for Nikolskii regularity	prop:chap2-fourier-nikolskii	Section 5.4 introduction	resolved	Uses Proposition~\ref
Chapter VII, Section 1	Future Navier--Stokes application	chap:future-chapter-vii; sec:future-vii-1	Section 5.4 introduction	deferred	Future targets are rendered by MBUnresolvedReference without fabricated numbers
[100]	Finite-dimensional Fourier theorem bibliography entry	bib:fourier-classic-source	Before Theorem II.5.19	deferred	Bibliography key unavailable; no target guessed
[8, 64, 96]	Banach-valued Fourier bibliography entries	bib:banach-fourier-sources	Before Theorem II.5.20	deferred	Bibliography keys unavailable; no targets guessed
[96]	Optimal-range counterexample bibliography entry	bib:hausdorff-young-counterexample	After Theorem II.5.20	deferred	Bibliography key unavailable; no target guessed
Theorem II.5.19	Finite-dimensional Hausdorff--Young theorem	thm:chap2-hausdorff-young-finite-dimensional	Proof of Theorem II.5.20	resolved	Uses Theorem~\ref
[101]	Tempered-distribution Fourier bibliography entry	bib:tempered-distribution-fourier	Before equation (II.27)	deferred	Bibliography key unavailable; no target guessed
(II.28)	Fractional Fourier moment estimate	eq:chap2-fourier-fractional-moment	Proof of Proposition II.5.23	resolved	Uses \eqref
Corollary II.5.21	Hilbert-valued Fourier isometry	cor:chap2-fourier-hilbert-isometry	Proof of Proposition II.5.23	resolved	Uses Corollary~\ref
Theorem II.5.17	Nikolskii compactness theorem	thm:chap2-simon-nikolskii-compactness	Final Section 5.4 paragraph	resolved	Uses Theorem~\ref
