Source Reference	Target Object	LaTeX Key	Translation Location	Status	Notes
(II.1)	Signed distance	eq:chap2-signed-distance	Section 1 opening	resolved	Uses eqref
Chapter IV	Stokes elliptic regularity	chap:stokes-analysis	Chapter III introduction	deferred	Future chapter not yet accepted; rendered by MBUnresolvedReference
[67, 89]	Complex-domain monographs	bib:lipschitz-domain-monographs	Section 1.2 introduction	deferred	Bibliography unavailable; no key guessed
Definition II.2.23	Mollifying kernel	def:chap2-mollifying-kernel	Section 1.2.1	resolved	Uses Definition~ref
(III.1)	Regularized graph	eq:chap3-regularized-graph	Proposition III.1.3 and Stokes proof	resolved	All formula references use eqref
Proposition II.2.47	Mollification of Lipschitz functions	prop:chap2-mollification-lipschitz	Proof of Proposition III.1.3	resolved	Uses Proposition~ref
Theorem III.2.13	Sobolev change of variables	thm:chap3-future-sobolev-change-variables	After Proposition III.1.3	deferred	Future unit target unavailable; no label guessed
Proposition II.2.15	Lp change of variables	prop:chap2-source-change-of-variables	After Proposition III.1.3	deferred	Earlier source object lacks accepted semantic label; rendered by MBUnresolvedReference
[1, 67, 33]	Cone-property sources	bib:cone-property-sources	Before Theorem III.1.4	deferred	Bibliography unavailable; no target guessed
(III.2)	Cone inclusion	eq:chap3-cone-property	Theorem III.1.4 and Proposition III.1.5 proof	resolved	Uses eqref
(III.3)	Cover-preserving shift	eq:chap3-cone-cover-shift	Theorem III.1.4 and Proposition III.1.5 proof	resolved	Uses eqref
(III.4)	Local graph cylinder	eq:chap3-local-cylinder	Proof of Theorem III.1.4	resolved	Uses eqref
Theorem III.1.4	Cone property	thm:chap3-lipschitz-cone-property	Proposition III.1.5 and Lemma III.1.7	resolved	Uses Theorem~ref
(III.5)	Inward shifted balls	eq:chap3-inward-shifted-ball	Proposition III.1.5 proof	resolved	Uses eqref
(III.6)	Outward shifted balls	eq:chap3-outward-shifted-ball	After Proposition III.1.5	resolved	Uses eqref
Corollary II.2.17	Young inequality	cor:chap2-young-epsilon	Proof of Proposition III.1.5	resolved	Uses Corollary~ref
Theorem II.2.46	Rademacher theorem	thm:chap2-rademacher	Boundary measure and Stokes limit	resolved	Uses Theorem~ref
(III.7)	Boundary integral on a half-space	eq:chap3-boundary-integral-half-space	Section 1.2.3 and Stokes proof	resolved	Uses eqref
(III.8)	Outward normal on a half-space	eq:chap3-outward-normal-half-space	Section 1.2.3 and Stokes proof	resolved	Uses eqref
Chapter II, Section 2.3	Lp-space properties	subsec:chap2-source-lebesgue-spaces	Section 1.2.3	deferred	Exact accepted subsection target unavailable; no label guessed
Appendix A	Equivalent Stokes formulae	app:vector-operator-identities	After Theorem III.1.8	deferred	Appendix target unavailable; no label guessed
(III.9)	Stokes/divergence formula	eq:chap3-stokes-divergence	Theorem III.1.8 and discussion	resolved	Uses eqref
(III.10)	Stokes product formula	eq:chap3-stokes-product	After Theorem III.1.8	resolved	Stable semantic label
