Source Reference	Target Object	LaTeX Key	Translation Location	Status	Notes
[27, 101]	Banach-space spectral theory sources	bib:source-27-101	Section 6 introduction	deferred	Bibliography keys unavailable; rendered by MBUnresolvedReference without guessing
Chapter III	Sobolev-space definitions	chap:sobolev-spaces	Section 6 introduction	deferred	Future chapter target not yet accepted; rendered by MBUnresolvedReference
Section 5.2 of Chapter IV	Stokes operator	sec:future-iv-stokes-operator	Section 6 introduction	deferred	Future target unavailable; no label guessed
(II.29)	Graph scalar product	eq:chap2-graph-inner-product	Proposition II.6.4	resolved	Stable semantic label; later formula references use eqref
[27]	Compact self-adjoint spectral theorem source	bib:source-27	After Theorem II.6.5	deferred	Bibliography key unavailable; no target guessed
Lemma II.3.5	Compactness of a composition	lem:chap2-compact-composition	Before Theorem II.6.6	resolved	Uses Lemma~ref
Theorem II.6.5	Compact self-adjoint spectral theorem	thm:chap2-compact-self-adjoint-spectral	Proof of Theorem II.6.6	resolved	Uses Theorem~ref
(II.30)	Fractional-power tail estimate	eq:chap2-fractional-power-tail	Proof of Proposition II.6.8	resolved	Stable semantic label and eqref
(II.31)	Finite-dimensional coordinate cover	eq:chap2-fractional-power-head	Proof of Proposition II.6.8	resolved	Stable semantic label and eqref
(II.32)	Homogeneous semigroup problem	eq:chap2-homogeneous-semigroup-problem	Section 6.3 and Theorem II.6.11	resolved	All formula references use eqref
(II.33)	Homogeneous semigroup solution formula	eq:chap2-homogeneous-semigroup-formula	Theorem II.6.11 and proof	resolved	All formula references use eqref
Theorem II.5.12	Lions--Magenes product theorem	thm:chap2-lions-magenes-product	Uniqueness proof of Theorem II.6.11	resolved	Uses Theorem~ref
Corollary II.3.8	Pivot-space Hilbert corollary	cor:chap2-pivot-space-compact-embedding	Uniqueness proof of Theorem II.6.11	resolved	Uses Corollary~ref
[48], [95]	Inhomogeneous semigroup sources	bib:source-48-95	Before Theorem II.6.12	deferred	Bibliography keys unavailable; rendered by MBUnresolvedReference
(II.34)	Inhomogeneous semigroup problem	eq:chap2-inhomogeneous-semigroup-problem	Theorem II.6.12	resolved	Stable semantic label
(II.35)	Duhamel formula	eq:chap2-duhamel-formula	Theorem II.6.12, proof, and Remark II.6.4	resolved	Every formula reference uses eqref
Remark II.6.1	Why the operator is unbounded	rem:chap2-unbounded-really-unbounded	Section 6.1	resolved	Separate referenceable remark counter preserves theorem numbering
Remark II.6.2	Graph-norm equivalence	rem:chap2-graph-norm-equivalence	After Proposition II.6.4	resolved	Separate referenceable remark counter preserves theorem numbering
Remark II.6.3	Semigroup identity	rem:chap2-semigroup-property	After Proposition II.6.10	resolved	Separate referenceable remark counter preserves theorem numbering
Remark II.6.4	Low-regularity source terms	rem:chap2-duhamel-low-regularity	End of Section 6.3	resolved	Separate referenceable remark counter preserves theorem numbering
