PDF Page	Printed Page	Source Scope	Translation Target	Coverage	Verification
341	329	Section 9 opening, physical vorticity interpretation, Stokes system IV.98, and Remark IV.9.1	tex/chapters/ch04-sec09.tex	covered	Heading, rigid rotation example, pressure/velocity decoupling, compatibility, and scalar correction problem checked
342	330	Subsection 9.1, space H_nu, Definition IV.9.1, Lemma IV.9.2, and proof opening	tex/chapters/ch04-sec09.tex	covered	Distance cutoff, Definition IV.9.1, convergence statement, derivative estimate, and boundary-layer setup checked
343	331	Lemma IV.9.2 proof conclusion, Proposition IV.9.3, and Lemma IV.9.4 opening	tex/chapters/ch04-sec09.tex	covered	Hardy argument, Banach--Steinhaus extension, gradient duality, and cutoff decomposition checked
344	332	Lemma IV.9.4 conclusion, Subsection 9.2, vector Laplace problem IV.101, and Theorem IV.9.5 opening	tex/chapters/ch04-sec09.tex	covered	Estimate IV.100, all boundary conditions, compatibility IV.102, existence statement, estimate, and weak trace IV.103 checked
345	333	Remarks IV.9.2--IV.9.3 and Theorem IV.9.5 proof opening	tex/chapters/ch04-sec09.tex	covered	Weak boundary interpretation, Lipschitz caveat, bilinear form, coercivity, Lax--Milgram, and first PDE deductions checked
346	334	Theorem IV.9.5 proof continuation through cutoff identity IV.106	tex/chapters/ch04-sec09.tex	covered	Distribution equation, beta-epsilon testing, curl expansion, source printed symbol inconsistency, and boundary term definition checked
347	335	Theorem IV.9.5 proof boundary-limit argument	tex/chapters/ch04-sec09.tex	covered	Hardy estimates, boundary-coordinate change, Jacobian comparison, and limit IV.107 checked
348	336	Theorem IV.9.5 proof conclusion and Theorem IV.9.6 opening	tex/chapters/ch04-sec09.tex	covered	Weak trace identification, regularity hypotheses, H2 estimate, and normal lifting construction checked
349	337	Theorem IV.9.6 proof through extended variational form IV.109	tex/chapters/ch04-sec09.tex	covered	Auxiliary Neumann problem, estimate IV.108, extension to arbitrary H1 tests, and all right-hand terms checked
350	338	Theorem IV.9.6 tangential-difference proof and estimates T1--T10	tex/chapters/ch04-sec09.tex	covered	Difference operators, commutator decomposition, printed boundary-data symbol choices, and each estimate checked
351	339	Theorem IV.9.6 estimate conclusion and strong boundary-trace argument	tex/chapters/ch04-sec09.tex	covered	Young inequality, source omission of g in the final printed bound, local regularity, and printed trace arguments without s checked
352	340	Lemma IV.9.7 and proof	tex/chapters/ch04-sec09.tex	covered	Normal-trace identity IV.110, H1/2 and L2 estimates, extension convention, and complete proof checked
353	341	Subsection 9.3, Theorem IV.9.8, and proof through comparison form IV.112	tex/chapters/ch04-sec09.tex	covered	Stokes variational problem IV.111, de Rham pressure, vector Laplace comparison, and all test-function steps checked
354	342	Theorem IV.9.8 proof conclusion and Proposition IV.9.9	tex/chapters/ch04-sec09.tex	covered	Curl equality, divergence constant argument, uniqueness, pressure decoupling, IV.113, and proof through IV.114 checked
355	343	Proposition IV.9.9 conclusion, Remarks IV.9.4--IV.9.5, and Theorem IV.9.10	tex/chapters/ch04-sec09.tex	covered	Scalar Neumann problem IV.115, numerical interpretation, q=pi printed relation, regularity statement, exponent 2, and source theorem citation checked
