PDF Page	Source Scope	Translation Target	Coverage	Verification
104	Section 5 and Section 5.1 headings; Definition II.5.1; Propositions II.5.2-II.5.3; equation (II.20); Corollary II.5.4	tex/chapters/ch02-sec05.tex: sec:chap2-banach-valued-functions through cor:chap2-banach-translation-continuity	covered	Both measurability bullets, separability explanation, all norms, zero extension, translation definition, citation, and convergence statement checked
105	p=infinity caveat; completion and Bochner-integral construction; dual pairing; mixed spaces; Theorem II.5.5 begins	tex/chapters/ch02-sec05.tex: paragraph after cor:chap2-banach-translation-continuity through thm:chap2-mixed-lp-interpolation	covered	No explanatory paragraph omitted; Chasles property, dual identification, four prior propositions, and equation (II.21) retained
106	Proof of Theorem II.5.5; Corollary II.5.6 and proof; Section 5.2 and Section 5.2.1 introductions	tex/chapters/ch02-sec05.tex: proof of thm:chap2-mixed-lp-interpolation through subsection time-regularity introduction	covered	Integral Hölder estimate, infinite-exponent case, convergence proof, systematic-use sentence, and parabolic-PDE motivation checked
107	Distribution-valued motivation; Definition II.5.7 and equation (II.22); Remark II.5.1; Definition II.5.8; Lemma II.5.9 begins	tex/chapters/ch02-sec05.tex: def:chap2-weak-time-derivative through lem:chap2-weak-continuity-transfer	covered	Existence in a larger space, uniqueness, target-space equality, dense embedding conditions, and source citations retained
108	Proof of Lemma II.5.9, first inclusion and reverse-inclusion mollification setup	tex/chapters/ch02-sec05.tex: first part of proof of lem:chap2-weak-continuity-transfer	covered	Measurability via countable closed balls, Phi_t family, Banach--Steinhaus estimate, reflection extension, and mollifier bound checked
109	Proof of Lemma II.5.9 ends; equation (II.23); Remark II.5.2	tex/chapters/ch02-sec05.tex: second part of proof of lem:chap2-weak-continuity-transfer through rem:chap2-weak-star-continuity-transfer	covered	Weak limits in X and Y, uniqueness, sequential continuity, weak-star inclusion, and reflexive converse retained
110	Section 5.2.3; E_pq definition; Lemma II.5.10 and proof; Remark II.5.3 begins	tex/chapters/ch02-sec05.tex: strong-continuity introduction through rem:chap2-epq-weak-star-density	covered	Norm, completeness, partition supports, translation-mollification construction, and both weak-star convergence lines checked
111	Remark II.5.3 ends; Proposition II.5.11; Theorem II.5.12 statement and proof begins	tex/chapters/ch02-sec05.tex: rem:chap2-epq-weak-star-density through proof of thm:chap2-lions-magenes-product	covered	All infinite-exponent cases, continuous representative formula, pivot-space definitions, and bilinear maps retained
112	Proof of Theorem II.5.12	tex/chapters/ch02-sec05.tex: proof of thm:chap2-lions-magenes-product	covered	Both continuity estimates, smooth approximants, test-function identity, limit passage, and W^{1,1} conclusion checked
113	Proof of Theorem II.5.12 ends; Theorem II.5.13 and equation (II.24)	tex/chapters/ch02-sec05.tex: end of proof of thm:chap2-lions-magenes-product through proof of thm:chap2-lions-magenes-continuity-h	covered	Energy identity, integration in s, L-infinity bound, weak continuity, norm continuity, and final embedding estimate retained
114	Theorem II.5.14; Section 5.3 introduction; Lemma II.5.15; Theorem II.5.16 begins	tex/chapters/ch02-sec05.tex: thm:chap2-interpolation-time-continuity through thm:chap2-aubin-lions-simon	covered	Interpolation references, Lions attribution, contradiction proof, both compactness conclusions, and provenance paragraph checked
115	Proof of Theorem II.5.16, Step 1 and Step 2 begins	tex/chapters/ch02-sec05.tex: first part of proof of thm:chap2-aubin-lions-simon	covered	Nonreflexive-space note, r=1 reduction, Cauchy estimate, cutoff decomposition, and a_nh/b_nh definitions retained
116	Proof of Theorem II.5.16, Step 2 estimates and equation (II.25)	tex/chapters/ch02-sec05.tex: middle of proof of thm:chap2-aubin-lions-simon	covered	B0 bound, derivative estimate, Ascoli extraction, Jensen-Fubini calculation, and h^{1/p} bound checked token by token
117	Proof of Theorem II.5.16, Step 3; Nikolskii definition and equation (II.26)	tex/chapters/ch02-sec05.tex: end of proof of thm:chap2-aubin-lions-simon through eq:chap2-nikolskii-space	covered	Successive subsequences, diagonal map, three-epsilon estimate, full norm, and Hölder-type motivation retained
118	Theorem II.5.17; Section 5.4 introduction; Definition II.5.18; Theorem II.5.19 begins	tex/chapters/ch02-sec05.tex: thm:chap2-simon-nikolskii-compactness through thm:chap2-hausdorff-young-finite-dimensional	covered	Future application, Banach-valued definition and codomain, citation, isometry statement, and Lp estimate retained
119	Theorem II.5.19 ends; Banach-space caveat; Theorem II.5.20	tex/chapters/ch02-sec05.tex: thm:chap2-hausdorff-young-finite-dimensional through thm:chap2-hausdorff-young-lebesgue-valued	covered	Both bullets, failure in general Banach spaces, three-source citation, optimal range, and all hypotheses retained
120	Proof of Theorem II.5.20; Corollary II.5.21; Proposition II.5.22; zero-extension identity (II.27)	tex/chapters/ch02-sec05.tex: proof of thm:chap2-hausdorff-young-lebesgue-valued through eq:chap2-fourier-zero-extension-derivative	covered	Four nested-norm lines, Hilbert characterisation, integration by parts, boundary Dirac masses, continuity justification, and tempered-distribution citation checked
121	Proposition II.5.23, equation (II.28), and proof begins	tex/chapters/ch02-sec05.tex: prop:chap2-fourier-nikolskii through proof	covered	All assumptions, the quotient factorisation, bounded multiplier, and Fourier-moment estimate retained
122	Proof of Proposition II.5.23 ends; final compactness paragraph; Section 6 begins	tex/chapters/ch02-sec05.tex: end of proof of prop:chap2-fourier-nikolskii through unit boundary	boundary-verified	Whole-line and restricted-interval estimates plus final application paragraph checked; Section 6 content excluded
