PDF Page	Printed Page	Source Scope	Translation Target	Coverage	Verification
419	409	Chapter VI opening, inflow/outflow notation, and full nonhomogeneous system	tex/chapters/ch06-sec01.tex	covered	Chapter title, boundary subsets, density-dependent viscosity, mass and momentum equations, initial data, and all boundary data checked in source order
420	410	Conservative and nonconservative forms, equation VI.1, vacuum discussion, and solution roadmap	tex/chapters/ch06-sec01.tex	covered	Both momentum forms, transport equation, density/momentum initial pair, positive-density subcase, and characteristic-flow discussion checked
421	411	Renormalised-solution background, chapter plan, regular-solution class, sources, and Section 1 opening	tex/chapters/ch06-sec01.tex	covered	Di Perna and Lions attribution, trace framework, Section 2 forward reference, local regularity class, dimensions, and H/V-space reminder checked
422	412	Definition VI.1.1, Section 1.1 setup, equations VI.2--VI.6, and Remark VI.1.1 opening	tex/chapters/ch06-sec01.tex	covered	Positive/negative parts, conservative transport-reaction problem, initial/inflow data, coefficient and divergence assumptions, and both special cases checked
423	413	Remark VI.1.1 conclusion, boundary measure, Definition VI.1.2, references, and Theorem VI.1.3 opening	tex/chapters/ch06-sec01.tex	covered	Mass-conservation special case, signed measure and support, weak formulation, theory roadmap, bibliography references, and time-continuity statement checked
424	414	Theorem VI.1.3 trace and renormalisation statements, equations VI.7--VI.8, Remarks VI.1.2--VI.1.3	tex/chapters/ch06-sec01.tex	covered	All trace spaces, endpoint terms, chain-rule terms, source-term extension, and finite-p caveat checked
425	415	Lemma VI.1.4 and proof of Theorem VI.1.3 through equations VI.9--VI.11	tex/chapters/ch06-sec01.tex	covered	Smooth absolute-value approximation, mollifier sources, commutator remainder, uniform bound, pointwise and space-time convergence, and weak-star square limit checked
426	416	Proof of Theorem VI.1.3 through equations VI.12--VI.13	tex/chapters/ch06-sec01.tex	covered	Time regularity, Cauchy-sequence difference equation, renormalised difference identity, and test-function calculation checked
427	417	Proof of Theorem VI.1.3 through equation VI.14 and boundary cutoff construction	tex/chapters/ch06-sec01.tex	covered	Lemma VI.1.4 limit, c-minus bound, integral estimate, distance cutoff, boundary layer notation, and all constants checked
428	418	Proof of Theorem VI.1.3 through equation VI.15 and smooth-field approximation	tex/chapters/ch06-sec01.tex	covered	Full L1 estimate, definition of I_h, decomposition with w, Gronwall step, and order of parameter choices checked
429	419	Completion of interior Cauchy proof, trace construction, and equations VI.16--VI.17	tex/chapters/ch06-sec01.tex	covered	Five-zeta estimate, C0 convergence, trace sequence, squared difference equation, integration-by-parts identity, and uniqueness setup checked
430	420	Trace convergence and uniqueness through equations VI.18--VI.19	tex/chapters/ch06-sec01.tex	covered	Boundary sign approximation, F_n definition, all three right-hand terms, limit order, and weighted L2 Cauchy conclusion checked
431	421	End of Theorem VI.1.3 proof and Corollary VI.1.5 statement/proof opening	tex/chapters/ch06-sec01.tex	covered	Boundary trace uniqueness, exact test-function limit, both Corollary claims, printed Lemma wording in proof, and beta-epsilon definition checked
432	422	Corollary VI.1.5 proof conclusion	tex/chapters/ch06-sec01.tex	covered	Level-set limit, weak-star density argument, piecewise-C1 regularisation, commutator limit, and renormalisation passage checked
433	423	End of Corollary proof and Section 1.3/Theorem VI.1.6 opening	tex/chapters/ch06-sec01.tex	covered	Double regularisation order, source theorem scope, unique weak solution data, initial and inflow traces checked
434	424	Theorem VI.1.6, equations VI.20--VI.22, uniqueness proof, and parabolic approximation opening	tex/chapters/ch06-sec01.tex	covered	Both L-infinity estimates, M and alpha, difference problem, absolute-value identity, Gronwall uniqueness, and viscous Robin problem checked
435	425	Parabolic weak formulation and energy estimates VI.23--VI.26	tex/chapters/ch06-sec01.tex	covered	All volume, boundary, endpoint, diffusion, energy, and inflow terms checked; printed signed-coefficient inequality preserved without silent correction
436	426	Lemma VI.1.7, weak compactness, boundary limits, and identification setup	tex/chapters/ch06-sec01.tex	covered	Maximum estimate, uniform bounds, weak-star subsequences, trace spaces, and limit weak formulation checked
437	427	Proof of Lemma VI.1.7 and completion of Theorem VI.1.6 existence proof	tex/chapters/ch06-sec01.tex	covered	Convex cutoff, nonnegative-data reduction, Gronwall estimate, positive/negative decompositions, and identification of inflow/outflow traces checked
438	428	Proposition VI.1.8, Section 1.4, Theorem VI.1.9, and equations VI.27--VI.28	tex/chapters/ch06-sec01.tex	covered	Comparison principle, stability problem, every convergence/boundedness assumption, initial datum, and both strong conclusions checked
439	429	Remarks VI.1.5--VI.1.6 and proof of Theorem VI.1.9 through equations VI.29--VI.30	tex/chapters/ch06-sec01.tex	covered	Minimal velocity assumptions, inflow mass-flux equivalence, trace representative, uniform bounds, weak-star subsequences, and identification goal checked
440	430	Proof of Theorem VI.1.9 through equation VI.31	tex/chapters/ch06-sec01.tex	covered	Volume and boundary limit passages, normal-trace difference estimate, limit weak formulation, inflow identification, and uniqueness argument checked
441	431	Strong-convergence step, equation VI.32, norm convergence, and equation VI.33	tex/chapters/ch06-sec01.tex	covered	Squared transport problem, transformed reaction coefficient, weak-star square limit, L2 norm convergence, boundary convergence, and interior regularisation checked
442	432	Uniform-in-time convergence setup and equations VI.34--VI.36	tex/chapters/ch06-sec01.tex	covered	Boundary regularisation, remainder equation, difference problem, full remainder decomposition and estimate, and iterated limit checked
443	433	Gronwall estimate and completion of Theorem VI.1.9 proof	tex/chapters/ch06-sec01.tex	covered	Energy inequality, coefficient negative part, boundary-measure mismatch, limsup passage, triangle inequality, and final epsilon limit checked
444	434	Remark VI.1.7 conclusion at top of page before Section 2	tex/chapters/ch06-sec01.tex	covered	Both alternative product-convergence assumptions and the reference to the homogeneous Navier--Stokes density argument checked; Section 2 content excluded from this batch
