Record Type	Original Reference	Target Object	LaTeX Label	Command	Translation Location	Target Location	Status
target		chapter	chap:ch04-polynomial-approximation	label	tex/chapters/chapter-04.tex:5	tex/chapters/chapter-04.tex:5	defined
target		section	sec:ch04-averaged-taylor-polynomials	label	tex/chapters/chapter-04.tex:12	tex/chapters/chapter-04.tex:12	defined
target		definition	def:ch04-taylor-polynomial	label	tex/chapters/chapter-04.tex:31	tex/chapters/chapter-04.tex:31	defined
target		equation	eq:ch04-taylor-polynomial	label	tex/chapters/chapter-04.tex:36	tex/chapters/chapter-04.tex:36	defined
target		definition	def:ch04-averaged-taylor-polynomial	label	tex/chapters/chapter-04.tex:54	tex/chapters/chapter-04.tex:54	defined
target		equation	eq:ch04-averaged-taylor-polynomial	label	tex/chapters/chapter-04.tex:59	tex/chapters/chapter-04.tex:59	defined
target		equation	eq:ch04-averaged-taylor-typical-term	label	tex/chapters/chapter-04.tex:69	tex/chapters/chapter-04.tex:69	defined
target		equation	eq:ch04-multiindex-binomial-expansion	label	tex/chapters/chapter-04.tex:76	tex/chapters/chapter-04.tex:76	defined
target		equation	eq:ch04-averaged-taylor-typical-term-expanded	label	tex/chapters/chapter-04.tex:84	tex/chapters/chapter-04.tex:84	defined
target		equation	eq:ch04-averaged-taylor-expanded	label	tex/chapters/chapter-04.tex:92	tex/chapters/chapter-04.tex:92	defined
target		proposition	prop:ch04-averaged-taylor-degree	label	tex/chapters/chapter-04.tex:101	tex/chapters/chapter-04.tex:101	defined
target		equation	eq:ch04-averaged-taylor-integrated-by-parts	label	tex/chapters/chapter-04.tex:109	tex/chapters/chapter-04.tex:109	defined
target		remark	rem:ch04-weak-derivative-equivalence	label	tex/chapters/chapter-04.tex:119	tex/chapters/chapter-04.tex:119	defined
target		proposition	prop:ch04-averaged-taylor-l1-definition	label	tex/chapters/chapter-04.tex:125	tex/chapters/chapter-04.tex:125	defined
target		equation	eq:ch04-averaged-taylor-l1-representation	label	tex/chapters/chapter-04.tex:130	tex/chapters/chapter-04.tex:130	defined
target		equation	eq:ch04-psi-lambda-definition	label	tex/chapters/chapter-04.tex:140	tex/chapters/chapter-04.tex:140	defined
target		corollary	cor:ch04-averaged-taylor-linfty-bound	label	tex/chapters/chapter-04.tex:150	tex/chapters/chapter-04.tex:150	defined
target		equation	eq:ch04-averaged-taylor-linfty-bound	label	tex/chapters/chapter-04.tex:155	tex/chapters/chapter-04.tex:155	defined
target		proposition	prop:ch04-averaged-taylor-commutes-with-derivatives	label	tex/chapters/chapter-04.tex:168	tex/chapters/chapter-04.tex:168	defined
target		equation	eq:ch04-averaged-taylor-commutes-with-derivatives	label	tex/chapters/chapter-04.tex:173	tex/chapters/chapter-04.tex:173	defined
target		remark	rem:ch04-sobolev-polynomial	label	tex/chapters/chapter-04.tex:196	tex/chapters/chapter-04.tex:196	defined
target		section	sec:ch04-error-representation	label	tex/chapters/chapter-04.tex:201	tex/chapters/chapter-04.tex:201	defined
target		equation	eq:ch04-taylor-theorem-integral-form	label	tex/chapters/chapter-04.tex:209	tex/chapters/chapter-04.tex:209	defined
target		definition	def:ch04-star-shaped-with-respect-to-ball	label	tex/chapters/chapter-04.tex:217	tex/chapters/chapter-04.tex:217	defined
target		example-or-exercise	ex:ch04-star-shaped-domains	label	tex/chapters/chapter-04.tex:223	tex/chapters/chapter-04.tex:223	defined
target		figure	fig:ch04-star-shaped-domain	label	tex/chapters/chapter-04.tex:229	tex/chapters/chapter-04.tex:229	defined
target		figure	fig:ch04-non-star-shaped-domain	label	tex/chapters/chapter-04.tex:235	tex/chapters/chapter-04.tex:235	defined
target		equation	eq:ch04-chain-rule-directional-derivative	label	tex/chapters/chapter-04.tex:243	tex/chapters/chapter-04.tex:243	defined
target		equation	eq:ch04-pointwise-taylor-remainder	label	tex/chapters/chapter-04.tex:253	tex/chapters/chapter-04.tex:253	defined
target		definition	def:ch04-mth-order-remainder	label	tex/chapters/chapter-04.tex:267	tex/chapters/chapter-04.tex:267	defined
target		equation	eq:ch04-averaged-remainder-integral	label	tex/chapters/chapter-04.tex:279	tex/chapters/chapter-04.tex:279	defined
target		proposition	prop:ch04-remainder-kernel-representation	label	tex/chapters/chapter-04.tex:294	tex/chapters/chapter-04.tex:294	defined
target		equation	eq:ch04-remainder-kernel-representation	label	tex/chapters/chapter-04.tex:299	tex/chapters/chapter-04.tex:299	defined
target		equation	eq:ch04-remainder-kernel-bound	label	tex/chapters/chapter-04.tex:306	tex/chapters/chapter-04.tex:306	defined
target		equation	eq:ch04-remainder-change-variable	label	tex/chapters/chapter-04.tex:315	tex/chapters/chapter-04.tex:315	defined
