Registry ID	Command	Target Type	LaTeX Label	Translation Location	Status
xref-ch01-0001	\ref	ex	ex:ch01-exercise-03	tex/chapters/chapter-01.tex:106	resolved-local
xref-ch01-0002	\ref	ex	ex:ch01-exercise-06	tex/chapters/chapter-01.tex:140	resolved-local
xref-ch01-0003	\eqref	eq	eq:ch01-f-integral-bound	tex/chapters/chapter-01.tex:140	resolved-local
xref-ch01-0004	\ref	chap	chap:ch00-basic-concepts	tex/chapters/chapter-01.tex:151	resolved-local
xref-ch01-0005	\eqref	eq	eq:ch01-ae-equivalent-step-functions	tex/chapters/chapter-01.tex:151	resolved-local
xref-ch01-0006	\ref	def	def:ch01-locally-integrable	tex/chapters/chapter-01.tex:151	resolved-local
xref-ch01-0007	\ref	def	def:ch01-test-functions	tex/chapters/chapter-01.tex:151	resolved-local
xref-ch01-0008	\ref	ex	ex:ch01-exercise-10	tex/chapters/chapter-01.tex:256	resolved-local
xref-ch01-0009	\ref	ex	ex:ch01-exercise-12	tex/chapters/chapter-01.tex:273	resolved-local
xref-ch01-0010	\ref	ex	ex:ch01-exercise-13	tex/chapters/chapter-01.tex:277	resolved-local
xref-ch01-0011	\ref	ex	ex:ch01-exercise-15	tex/chapters/chapter-01.tex:328	resolved-local
xref-ch01-0012	\ref	ex	ex:ch01-exercise-14	tex/chapters/chapter-01.tex:328	resolved-local
xref-ch01-0013	\ref	ex	ex:ch01-exercise-17	tex/chapters/chapter-01.tex:341	resolved-local
xref-ch01-0014	\ref	ex	ex:ch01-exercise-22	tex/chapters/chapter-01.tex:341	resolved-local
xref-ch01-0015	\ref	thm	thm:ch01-lp-banach	tex/chapters/chapter-01.tex:351	resolved-local
xref-ch01-0016	\eqref	eq	eq:ch01-lp-integral-limit	tex/chapters/chapter-01.tex:367	resolved-local
xref-ch01-0017	\eqref	eq	eq:ch01-test-function-limit	tex/chapters/chapter-01.tex:380	resolved-local
xref-ch01-0018	\ref	ex	ex:ch01-exercise-26	tex/chapters/chapter-01.tex:403	resolved-local
xref-ch01-0019	\ref	ex	ex:ch01-exercise-25	tex/chapters/chapter-01.tex:408	resolved-local
xref-ch01-0020	\ref	thm	thm:ch01-meyers-serrin-density	tex/chapters/chapter-01.tex:413	resolved-local
xref-ch01-0021	\ref	ex	ex:ch01-exercise-19	tex/chapters/chapter-01.tex:413	resolved-local
xref-ch01-0022	\ref	ex	ex:ch01-bump-function	tex/chapters/chapter-01.tex:413	resolved-local
xref-ch01-0023	\ref	def	def:ch01-sobolev-norm-space	tex/chapters/chapter-01.tex:449	resolved-local
xref-ch01-0024	\ref	ex	ex:ch01-exercise-01	tex/chapters/chapter-01.tex:449	resolved-local
xref-ch01-0025	\ref	ex	ex:ch01-radial-weak-derivative	tex/chapters/chapter-01.tex:479	resolved-local
xref-ch01-0026	\ref	ex	ex:ch01-exercise-12	tex/chapters/chapter-01.tex:479	resolved-local
xref-ch01-0027	\ref	ex	ex:ch01-exercise-05	tex/chapters/chapter-01.tex:485	resolved-local
xref-ch01-0028	\ref	ex	ex:ch01-exercise-05	tex/chapters/chapter-01.tex:492	resolved-local
xref-ch01-0029	\eqref	eq	eq:ch01-f-log-series	tex/chapters/chapter-01.tex:502	resolved-local
xref-ch01-0030	\MBUnresolvedReference	chap	chap:ch04-polynomial-approximation	tex/chapters/chapter-01.tex:502	unresolved-semantic
xref-ch01-0031	\ref	ex	ex:ch01-unbounded-sobolev-function	tex/chapters/chapter-01.tex:555	resolved-local
xref-ch01-0032	\MBUnresolvedReference	chap	chap:ch04-polynomial-approximation	tex/chapters/chapter-01.tex:555	unresolved-semantic
xref-ch01-0033	\ref	thm	thm:ch01-extension-mapping	tex/chapters/chapter-01.tex:577	resolved-local
xref-ch01-0034	\ref	thm	thm:ch01-sobolev-inequality	tex/chapters/chapter-01.tex:577	resolved-local
xref-ch01-0035	\ref	chap	chap:ch00-basic-concepts	tex/chapters/chapter-01.tex:592	resolved-local
xref-ch01-0036	\eqref	eq	eq:ch00-boundary-value-problem	tex/chapters/chapter-01.tex:602	resolved-local
xref-ch01-0037	\eqref	eq	eq:ch00-weak-problem	tex/chapters/chapter-01.tex:602	resolved-local
xref-ch01-0038	\ref	ex	ex:ch01-exercise-24	tex/chapters/chapter-01.tex:602	resolved-local
xref-ch01-0039	\ref	sec	sec:ch01-sobolev-norms	tex/chapters/chapter-01.tex:602	resolved-local
xref-ch01-0040	\ref	ex	ex:ch01-absolute-value-weak-derivative	tex/chapters/chapter-01.tex:602	resolved-local
xref-ch01-0041	\ref	sec	sec:ch00-piecewise-polynomial-spaces	tex/chapters/chapter-01.tex:602	resolved-local
