Registry ID	Command	Target Type	LaTeX Label	Translation Location	Status
xref-ch00-0001	\\eqref	eq	eq:ch00-boundary-value-problem	tex/chapters/chapter-00.tex:39	resolved-local
xref-ch00-0002	\\eqref	eq	eq:ch00-boundary-value-problem	tex/chapters/chapter-00.tex:45	resolved-local
xref-ch00-0003	\\eqref	eq	eq:ch00-weak-problem	tex/chapters/chapter-00.tex:47	resolved-local
xref-ch00-0004	\\eqref	eq	eq:ch00-bilinear-form	tex/chapters/chapter-00.tex:47	resolved-local
xref-ch00-0005	\\eqref	eq	eq:ch00-weak-problem	tex/chapters/chapter-00.tex:54	resolved-local
xref-ch00-0006	\\eqref	eq	eq:ch00-boundary-value-problem	tex/chapters/chapter-00.tex:54	resolved-local
xref-ch00-0007	\\eqref	eq	eq:ch00-weak-problem	tex/chapters/chapter-00.tex:59	resolved-local
xref-ch00-0008	\\eqref	eq	eq:ch00-boundary-value-problem	tex/chapters/chapter-00.tex:59	resolved-local
xref-ch00-0009	\\eqref	eq	eq:ch00-proof-integration-by-parts	tex/chapters/chapter-00.tex:70	resolved-local
xref-ch00-0010	\\eqref	eq	eq:ch00-boundary-value-problem	tex/chapters/chapter-00.tex:70	resolved-local
xref-ch00-0011	\\ref	tab	tab:ch00-boundary-condition-names	tex/chapters/chapter-00.tex:77	resolved-local
xref-ch00-0012	\\ref	thm	thm:ch00-classical-solution-from-weak-form	tex/chapters/chapter-00.tex:93	resolved-local
xref-ch00-0013	\\eqref	eq	eq:ch00-boundary-value-problem	tex/chapters/chapter-00.tex:93	resolved-local
xref-ch00-0014	\\eqref	eq	eq:ch00-boundary-value-problem	tex/chapters/chapter-00.tex:93	resolved-local
xref-ch00-0015	\\eqref	eq	eq:ch00-weak-problem	tex/chapters/chapter-00.tex:93	resolved-local
xref-ch00-0016	\\eqref	eq	eq:ch00-weak-problem	tex/chapters/chapter-00.tex:93	resolved-local
xref-ch00-0017	\\eqref	eq	eq:ch00-boundary-value-problem	tex/chapters/chapter-00.tex:93	resolved-local
xref-ch00-0018	\\eqref	eq	eq:ch00-weak-problem	tex/chapters/chapter-00.tex:98	resolved-local
xref-ch00-0019	\\eqref	eq	eq:ch00-boundary-value-problem	tex/chapters/chapter-00.tex:105	resolved-local
xref-ch00-0020	\\eqref	eq	eq:ch00-ritz-galerkin-problem	tex/chapters/chapter-00.tex:105	resolved-local
xref-ch00-0021	\\eqref	eq	eq:ch00-ritz-galerkin-problem	tex/chapters/chapter-00.tex:105	resolved-local
xref-ch00-0022	\\eqref	eq	eq:ch00-ritz-galerkin-problem	tex/chapters/chapter-00.tex:110	resolved-local
xref-ch00-0023	\\eqref	eq	eq:ch00-ritz-galerkin-problem	tex/chapters/chapter-00.tex:114	resolved-local
xref-ch00-0024	\\eqref	eq	eq:ch00-ritz-galerkin-problem	tex/chapters/chapter-00.tex:122	resolved-local
xref-ch00-0025	\\eqref	eq	eq:ch00-stiffness-system	tex/chapters/chapter-00.tex:130	resolved-local
xref-ch00-0026	\\eqref	eq	eq:ch00-ritz-galerkin-problem	tex/chapters/chapter-00.tex:130	resolved-local
xref-ch00-0027	\\eqref	eq	eq:ch00-stiffness-system	tex/chapters/chapter-00.tex:130	resolved-local
xref-ch00-0028	\\eqref	eq	eq:ch00-stiffness-system	tex/chapters/chapter-00.tex:135	resolved-local
xref-ch00-0029	\\eqref	eq	eq:ch00-ritz-galerkin-problem	tex/chapters/chapter-00.tex:135	resolved-local
xref-ch00-0030	\\ref	thm	thm:ch00-ritz-galerkin-unique-solution	tex/chapters/chapter-00.tex:141	resolved-local
xref-ch00-0031	\\eqref	eq	eq:ch00-stiffness-system	tex/chapters/chapter-00.tex:153	resolved-local
xref-ch00-0032	\\MBUnresolvedReference	thm	thm:ch00-source-number-0-2-3	tex/chapters/chapter-00.tex:153	needs-review
xref-ch00-0033	\\eqref	eq	eq:ch00-weak-problem	tex/chapters/chapter-00.tex:159	resolved-local
xref-ch00-0034	\\eqref	eq	eq:ch00-ritz-galerkin-problem	tex/chapters/chapter-00.tex:159	resolved-local
