Registry ID	Command	Target Type	LaTeX Label	Translation Location	Status
xref-ch02-0001	\eqref	eq	eq:ch02-schwarz-inequality	tex/chapters/chapter-02.tex:73	resolved-local
xref-ch02-0002	\eqref	eq	eq:ch02-schwarz-inequality	tex/chapters/chapter-02.tex:73	resolved-local
xref-ch02-0003	\ref	def	def:ch02-bilinear-form-inner-product	tex/chapters/chapter-02.tex:73	resolved-local
xref-ch02-0004	\eqref	eq	eq:ch02-schwarz-inequality	tex/chapters/chapter-02.tex:75	resolved-local
xref-ch02-0005	\ref	def	def:ch02-bilinear-form-inner-product	tex/chapters/chapter-02.tex:77	resolved-local
xref-ch02-0006	\eqref	eq	eq:ch02-schwarz-inequality	tex/chapters/chapter-02.tex:83	resolved-local
xref-ch02-0007	\eqref	eq	eq:ch02-schwarz-inequality	tex/chapters/chapter-02.tex:112	resolved-local
xref-ch02-0008	\ref	prop	prop:ch02-inner-product-norm	tex/chapters/chapter-02.tex:125	resolved-local
xref-ch02-0009	\ref	ex	ex:ch02-inner-product-spaces	tex/chapters/chapter-02.tex:134	resolved-local
xref-ch02-0010	\ref	chap	chap:ch01-sobolev-spaces	tex/chapters/chapter-02.tex:134	resolved-local
xref-ch02-0011	\ref	ex	ex:ch02-exercise-01	tex/chapters/chapter-02.tex:156	resolved-local
xref-ch02-0012	\eqref	eq	eq:ch02-schwarz-inequality	tex/chapters/chapter-02.tex:164	resolved-local
xref-ch02-0013	\ref	ex	ex:ch02-exercise-03	tex/chapters/chapter-02.tex:213	resolved-local
xref-ch02-0014	\ref	ex	ex:ch02-exercise-04	tex/chapters/chapter-02.tex:229	resolved-local
xref-ch02-0015	\ref	prop	prop:ch02-closest-point-projection	tex/chapters/chapter-02.tex:300	resolved-local
xref-ch02-0016	\ref	ex	ex:ch02-exercise-05	tex/chapters/chapter-02.tex:340	resolved-local
xref-ch02-0017	\ref	prop	prop:ch02-orthogonal-decomposition	tex/chapters/chapter-02.tex:363	resolved-local
xref-ch02-0018	\ref	ex	ex:ch02-hilbert-subspaces	tex/chapters/chapter-02.tex:454	resolved-local
xref-ch02-0019	\ref	prop	prop:ch02-orthogonal-decomposition	tex/chapters/chapter-02.tex:454	resolved-local
xref-ch02-0020	\eqref	eq	eq:ch02-riesz-representer-choice	tex/chapters/chapter-02.tex:485	resolved-local
xref-ch02-0021	\eqref	eq	eq:ch01-dual-norm	tex/chapters/chapter-02.tex:490	resolved-local
