Record Type	Original Reference	Target Object	LaTeX Label	Command	Translation Location	Target Location	Status
target		section	sec:ch1-stokes-discretization-ii	label	tex/chapters/chapter-01/section-04.tex:3	tex/chapters/chapter-01/section-04.tex:3	defined
target		subsection	subsec:ch1-finite-element-preliminaries	label	tex/chapters/chapter-01/section-04.tex:8	tex/chapters/chapter-01/section-04.tex:8	defined
target		equation	eq:ch1-simplex-coordinate-matrix	label	tex/chapters/chapter-01/section-04.tex:24	tex/chapters/chapter-01/section-04.tex:24	defined
target		equation	eq:ch1-barycentric-position	label	tex/chapters/chapter-01/section-04.tex:31	tex/chapters/chapter-01/section-04.tex:31	defined
target		equation	eq:ch1-barycentric-sum	label	tex/chapters/chapter-01/section-04.tex:35	tex/chapters/chapter-01/section-04.tex:35	defined
target		equation	eq:ch1-barycentric-linear-system	label	tex/chapters/chapter-01/section-04.tex:49	tex/chapters/chapter-01/section-04.tex:49	defined
target		equation	eq:ch1-barycentric-affine-functions	label	tex/chapters/chapter-01/section-04.tex:57	tex/chapters/chapter-01/section-04.tex:57	defined
target		equation	eq:ch1-barycentric-vector-identity	label	tex/chapters/chapter-01/section-04.tex:62	tex/chapters/chapter-01/section-04.tex:62	defined
target		equation	eq:ch1-simplex-barycentric-bounds	label	tex/chapters/chapter-01/section-04.tex:68	tex/chapters/chapter-01/section-04.tex:68	defined
target		proposition	prop:ch1-linear-barycentric-interpolation	label	tex/chapters/chapter-01/section-04.tex:76	tex/chapters/chapter-01/section-04.tex:76	defined
target		equation	eq:ch1-linear-barycentric-interpolation	label	tex/chapters/chapter-01/section-04.tex:81	tex/chapters/chapter-01/section-04.tex:81	defined
target		remark	rem:ch1-higher-order-barycentric-interpolation	label	tex/chapters/chapter-01/section-04.tex:96	tex/chapters/chapter-01/section-04.tex:96	defined
target		lemma	lem:ch1-barycentric-differential-identities	label	tex/chapters/chapter-01/section-04.tex:106	tex/chapters/chapter-01/section-04.tex:106	defined
target		equation	eq:ch1-barycentric-gradient-sum	label	tex/chapters/chapter-01/section-04.tex:109	tex/chapters/chapter-01/section-04.tex:109	defined
target		equation	eq:ch1-barycentric-gradient-vector	label	tex/chapters/chapter-01/section-04.tex:114	tex/chapters/chapter-01/section-04.tex:114	defined
target		lemma	lem:ch1-barycentric-gradient-bound	label	tex/chapters/chapter-01/section-04.tex:137	tex/chapters/chapter-01/section-04.tex:137	defined
target		equation	eq:ch1-barycentric-gradient-bound	label	tex/chapters/chapter-01/section-04.tex:142	tex/chapters/chapter-01/section-04.tex:142	defined
target		equation	eq:ch1-barycentric-gradient-direction	label	tex/chapters/chapter-01/section-04.tex:150	tex/chapters/chapter-01/section-04.tex:150	defined
target		equation	eq:ch1-simplex-linear-map	label	tex/chapters/chapter-01/section-04.tex:173	tex/chapters/chapter-01/section-04.tex:173	defined
target		lemma	lem:ch1-simplex-linear-map-norms	label	tex/chapters/chapter-01/section-04.tex:179	tex/chapters/chapter-01/section-04.tex:179	defined
