Record Type	Original Reference	Target Object	LaTeX Label	Command	Translation Location	Target Location	Status
target		chapter	chap:fourier-series-integrals	label	tex/chapters/chapter-01.tex:5	tex/chapters/chapter-01.tex:5	defined
target		section	sec:ch1-fourier-coefficients-series	label	tex/chapters/chapter-01/section-01-01.tex:3	tex/chapters/chapter-01/section-01-01.tex:3	defined
target		equation	eq:ch1-trigonometric-series	label	tex/chapters/chapter-01/section-01-01.tex:7	tex/chapters/chapter-01/section-01-01.tex:7	defined
target		equation	eq:ch1-complex-fourier-series	label	tex/chapters/chapter-01/section-01-01.tex:14	tex/chapters/chapter-01/section-01-01.tex:14	defined
target		equation	eq:ch1-exponential-orthogonality	label	tex/chapters/chapter-01/section-01-01.tex:25	tex/chapters/chapter-01/section-01-01.tex:25	defined
target		equation	eq:ch1-fourier-coefficient	label	tex/chapters/chapter-01/section-01-01.tex:35	tex/chapters/chapter-01/section-01-01.tex:35	defined
target		equation	eq:ch1-fourier-series	label	tex/chapters/chapter-01/section-01-01.tex:40	tex/chapters/chapter-01/section-01-01.tex:40	defined
target		section	sec:ch1-pointwise-convergence-criteria	label	tex/chapters/chapter-01/section-01-02.tex:2	tex/chapters/chapter-01/section-01-02.tex:2	defined
target		equation	eq:ch1-dirichlet-kernel	label	tex/chapters/chapter-01/section-01-02.tex:28	tex/chapters/chapter-01/section-01-02.tex:28	defined
target		theorem	thm:ch1-dini-criterion	label	tex/chapters/chapter-01/section-01-02.tex:41	tex/chapters/chapter-01/section-01-02.tex:41	defined
target		theorem	thm:ch1-jordan-criterion	label	tex/chapters/chapter-01/section-01-02.tex:53	tex/chapters/chapter-01/section-01-02.tex:53	defined
target		theorem	thm:ch1-riemann-localization	label	tex/chapters/chapter-01/section-01-02.tex:64	tex/chapters/chapter-01/section-01-02.tex:64	defined
target		lemma	lem:ch1-riemann-lebesgue	label	tex/chapters/chapter-01/section-01-02.tex:80	tex/chapters/chapter-01/section-01-02.tex:80	defined
target		section	sec:ch1-continuous-fourier-series	label	tex/chapters/chapter-01/section-01-03.tex:2	tex/chapters/chapter-01/section-01-03.tex:2	defined
target		theorem	thm:ch1-continuous-fourier-divergence	label	tex/chapters/chapter-01/section-01-03.tex:7	tex/chapters/chapter-01/section-01-03.tex:7	defined
target		lemma	lem:ch1-uniform-boundedness	label	tex/chapters/chapter-01/section-01-03.tex:14	tex/chapters/chapter-01/section-01-03.tex:14	defined
target		lemma	lem:ch1-lebesgue-number-asymptotic	label	tex/chapters/chapter-01/section-01-03.tex:43	tex/chapters/chapter-01/section-01-03.tex:43	defined
target		section	sec:ch1-norm-convergence	label	tex/chapters/chapter-01/section-01-04.tex:2	tex/chapters/chapter-01/section-01-04.tex:2	defined
target		lemma	lem:ch1-lp-partial-sum-convergence	label	tex/chapters/chapter-01/section-01-04.tex:12	tex/chapters/chapter-01/section-01-04.tex:12	defined
target		equation	eq:ch1-partial-sum-lp-bound	label	tex/chapters/chapter-01/section-01-04.tex:15	tex/chapters/chapter-01/section-01-04.tex:15	defined
target		theorem	thm:ch1-fourier-l2-isometry-series	label	tex/chapters/chapter-01/section-01-04.tex:37	tex/chapters/chapter-01/section-01-04.tex:37	defined
target		section	sec:ch1-summability-methods	label	tex/chapters/chapter-01/section-01-05.tex:2	tex/chapters/chapter-01/section-01-05.tex:2	defined
target		equation	eq:ch1-fejer-kernel-properties	label	tex/chapters/chapter-01/section-01-05.tex:30	tex/chapters/chapter-01/section-01-05.tex:30	defined
target		theorem	thm:ch1-fejer-norm-convergence	label	tex/chapters/chapter-01/section-01-05.tex:39	tex/chapters/chapter-01/section-01-05.tex:39	defined
